#Frame            fit       ligand
       1       0.0000       0.0000
       2       1.4096       0.7592
       3       1.3575       1.0920
       4       1.6438       1.7930
       5       1.5383       1.6961
       6       1.7945       2.1595
       7       1.4692       2.0225
       8       1.8165       3.2928
       9       1.6351       1.7712
      10       1.5679       2.1240
      11       1.4903       1.9689
      12       1.4843       2.6409
      13       1.5786       2.3330
      14       1.7818       2.2411
      15       1.6765       2.1956
      16       1.7616       1.5134
      17       1.7990       1.9297
      18       1.7704       1.7008
      19       1.7080       1.8809
      20       1.9559       1.5647
      21       1.7883       1.7364
      22       1.9258       1.5472
      23       1.8848       2.2461
      24       1.8654       1.5781
      25       1.9204       1.2968
      26       2.0068       1.3977
      27       1.8598       1.7108
      28       1.8483       1.5635
      29       1.7480       1.5735
      30       1.8257       1.6673
      31       1.6386       1.5132
      32       1.8601       2.7028
      33       1.7574       1.4018
      34       1.6930       1.5117
      35       1.9354       1.6634
      36       1.7464       1.5461
      37       1.7286       1.7910
      38       1.8200       1.5339
      39       1.9890       2.0003
      40       1.7573       1.5321
      41       1.7837       1.5062
      42       1.7658       1.7682
      43       1.7637       1.6743
      44       1.7089       1.3316
      45       1.9198       1.9078
      46       2.0294       2.0089
      47       1.9364       2.0399
      48       2.0189       1.4202
      49       1.9077       1.5862
      50       2.0258       2.1331
      51       1.7713       1.6042
      52       1.7575       1.5285
      53       2.0868       1.6020
      54       2.0003       1.7557
      55       2.2499       1.8374
      56       1.7952       1.5069
      57       1.7357       1.3467
      58       1.9906       2.1446
      59       1.8974       1.8253
      60       1.9508       1.5156
      61       1.7938       1.6817
      62       2.0758       1.6177
      63       2.0223       2.6451
      64       1.9432       1.5954
      65       1.8635       1.6676
      66       1.8639       1.8713
      67       1.9453       1.8010
      68       1.6809       1.4653
      69       1.7912       1.8197
      70       1.6588       1.6425
      71       1.6863       1.5689
      72       1.7054       1.5747
      73       1.7626       1.4164
      74       1.7475       1.7192
      75       1.8666       2.2438
      76       1.9551       2.2971
      77       1.8573       1.5934
      78       1.7750       1.5347
      79       1.6816       1.8421
      80       1.8007       3.4314
      81       1.8001       1.5658
      82       1.8867       1.4600
      83       1.9914       2.6471
      84       1.8376       2.3261
      85       1.7806       3.8327
      86       1.8870       2.5633
      87       1.7976       2.7611
      88       1.8574       1.9369
      89       1.7412       1.5236
      90       1.7478       1.6997
      91       1.8020       2.1625
      92       1.9470       2.5980
      93       2.0401       2.5596
      94       1.8399       2.3464
      95       1.9014       2.1428
      96       2.0380       2.1445
      97       1.8148       2.1837
      98       1.7570       2.3396
      99       1.8062       2.3750
     100       1.7570       2.5372
     101       1.8113       2.5629
     102       1.8703       2.3011
     103       1.9572       2.3306
     104       1.8966       2.1168
     105       1.9122       2.0620
     106       1.9163       2.4152
     107       1.9142       1.7951
     108       1.8708       2.2322
     109       1.8015       2.1618
     110       1.8147       1.9872
     111       1.7899       2.0161
     112       1.9457       2.3839
     113       1.9056       1.9929
     114       1.9572       2.5363
     115       1.8262       2.3107
     116       1.8138       2.7877
     117       1.8675       3.5173
     118       1.8693       2.5792
