#Frame            fit       ligand
       1       0.0000       0.0000
       2       1.4147       1.1412
       3       1.4153       0.8876
       4       1.6407       1.2020
       5       1.5017       0.6944
       6       1.4383       0.9058
       7       1.5570       1.1092
       8       1.6179       0.8453
       9       1.6543       1.0724
      10       1.5089       1.2221
      11       1.6723       0.9710
      12       1.5530       1.0021
      13       1.6441       1.2892
      14       1.4758       0.7573
      15       1.5291       1.3327
      16       1.4410       0.9590
      17       1.5199       0.7947
      18       1.6155       1.0696
      19       1.7248       0.9830
      20       1.7400       0.7446
      21       1.7653       1.0461
      22       1.6399       1.0668
      23       1.6970       1.0764
      24       1.5978       1.3075
      25       1.6397       0.7668
      26       1.6579       1.1940
      27       1.7366       1.0386
      28       1.7196       0.9336
      29       1.7998       0.7634
      30       1.8244       1.0994
      31       1.6463       1.2834
      32       1.7824       1.1037
      33       1.7794       0.9113
      34       1.8968       1.0061
      35       1.8675       0.8812
      36       1.7290       1.1451
      37       1.6696       1.0180
      38       1.7529       1.0556
      39       1.7952       1.0480
      40       1.7561       0.8180
      41       1.6715       0.6583
      42       1.8782       0.8655
      43       1.8017       1.0417
      44       1.8193       1.4681
      45       1.7667       1.1403
      46       1.8237       1.1631
      47       1.7340       1.2943
      48       1.8312       1.1029
      49       1.8246       1.0143
      50       1.7471       1.2049
      51       1.7951       1.2935
      52       1.9536       1.1930
      53       1.9826       1.0390
      54       1.8646       1.3718
      55       1.7318       1.1518
      56       1.9034       1.4246
      57       1.8413       1.2966
      58       1.7629       1.4414
      59       1.7018       1.4801
      60       1.7328       1.3899
      61       1.9862       1.1236
      62       1.8361       1.7381
      63       1.7960       1.3619
      64       1.7970       1.1543
      65       1.8557       1.3833
      66       1.7816       1.1175
      67       2.0213       1.6493
      68       1.7965       1.3400
      69       2.0318       1.4659
      70       1.6855       1.1925
      71       1.7435       1.4379
      72       1.8610       1.3135
      73       1.8204       1.4076
      74       1.8479       1.2556
      75       1.8054       1.1171
      76       1.7216       1.6099
      77       1.7082       1.6503
      78       1.8825       1.3055
      79       1.8491       1.4080
      80       1.8380       1.4674
      81       1.8712       1.2549
      82       1.9548       1.4380
      83       1.7347       1.1846
      84       1.8066       1.4840
      85       1.9036       1.5277
      86       1.7787       1.5162
      87       1.8226       1.2821
      88       1.6653       1.0182
      89       1.8489       1.2570
      90       1.9268       1.0923
      91       1.8332       1.2671
      92       1.8094       1.4330
      93       1.9445       1.2428
      94       1.8482       1.2301
      95       1.8006       1.2730
      96       1.7910       1.4392
      97       1.7843       1.4071
      98       1.7945       1.4029
      99       1.7462       1.2759
     100       1.8174       0.9823
     101       1.9535       1.1138
     102       1.6810       1.2231
     103       1.8981       1.7703
     104       1.8876       1.4014
     105       1.6940       1.2042
     106       1.7896       1.0749
     107       1.7768       1.4804
     108       1.7447       1.1370
     109       1.6547       1.0600
     110       1.9910       1.0625
     111       1.9642       1.4277
     112       1.6841       1.2379
     113       1.7844       0.8601
     114       1.9083       1.2899
     115       1.8241       1.2908
     116       1.8459       1.2649
     117       1.7110       1.3080
     118       1.9111       1.1814
     119       1.7414       1.4343
     120       2.0387       1.6811
     121       1.9468       1.3347
     122       1.9018       1.4463
     123       1.8149       1.4897
     124       1.7886       1.3229
     125       1.6320       1.3179
     126       1.7897       1.1178
     127       1.7378       1.0440
     128       1.7329       1.2128
     129       1.6205       1.2852
     130       1.7993       1.2565
     131       1.6895       1.1292
     132       1.6748       0.9913
     133       1.7641       1.3250
     134       1.8233       1.2062
     135       1.8292       1.1205
     136       1.9018       1.5051
     137       1.9283       0.8780
     138       1.8595       1.2829
     139       1.8633       1.3658
     140       1.6724       1.1662
     141       1.7352       1.0418
     142       1.8155       1.0722
     143       1.8567       1.0543
     144       1.7723       1.1970
     145       1.7099       1.0403
     146       1.6852       1.2689
     147       1.6609       1.0861
     148       1.7085       1.0962
     149       1.8234       1.2835
     150       1.7630       1.1953
     151       1.7923       1.2621
     152       1.8315       1.4650
     153       1.6900       1.1207
     154       1.8040       1.3569
     155       2.0343       1.3545
     156       1.7277       1.1964
     157       1.6741       1.2440
     158       1.6750       0.9856
     159       1.6288       1.3219
     160       1.6869       1.1310
     161       1.8276       1.1248
     162       1.5944       1.3848
     163       1.6197       1.5259
     164       1.6962       1.0742
     165       1.6273       1.1917
     166       1.7631       1.1405
     167       1.6487       1.1171
     168       1.7640       1.1770
     169       1.8420       1.1448
     170       1.8113       1.1668
     171       1.8323       1.0659
     172       1.8526       0.8552
     173       1.7850       0.9363
     174       1.8043       1.0804
     175       1.7659       0.9737
     176       1.7434       1.2285
     177       1.8227       1.0615
     178       2.1623       1.0188
     179       1.7967       1.1543
     180       1.7954       0.8512
     181       1.8205       1.0867
     182       2.0256       1.2084
     183       1.7024       1.2683
