#Frame            fit       ligand
       1       0.0000       0.0000
       2       1.5205       0.6045
       3       1.7139       0.8557
       4       1.7984       1.0265
       5       1.8398       0.9259
       6       2.0014       1.1170
       7       1.9428       1.2967
       8       1.7127       0.9599
       9       1.9083       0.9119
      10       1.7280       0.9897
      11       1.6382       0.9837
      12       1.9209       0.9096
      13       1.9159       0.8658
      14       2.0406       1.1459
      15       1.6163       0.6385
      16       1.7079       1.0969
      17       1.7788       1.0499
      18       1.7970       1.2255
      19       1.8974       1.1726
      20       1.8067       1.2250
      21       1.8972       1.1484
      22       1.5740       1.2908
      23       1.6953       0.9948
      24       1.7872       1.1825
      25       1.8540       1.3567
      26       1.9112       1.6292
      27       2.0000       1.4053
      28       1.9446       2.0016
      29       1.9928       1.3162
      30       2.1627       1.5119
      31       2.0525       1.5933
      32       1.9712       1.6469
      33       1.8130       1.5610
      34       1.8248       1.1724
      35       1.9182       1.5378
      36       2.0044       1.5468
      37       1.9174       1.4919
      38       1.9088       0.9128
      39       1.9673       1.2841
      40       1.9797       1.6935
      41       1.7831       1.1900
      42       1.8944       1.4973
      43       1.9177       1.1094
      44       1.8109       1.4413
      45       1.8625       1.2668
      46       1.8531       0.9328
      47       1.9407       1.1488
      48       1.8449       1.1942
      49       1.9472       1.6313
      50       1.8586       1.4505
      51       2.1286       1.7876
      52       2.0263       1.4588
      53       2.2185       1.8286
      54       1.9527       1.4690
      55       1.8557       1.0036
      56       2.1890       1.4404
      57       1.9974       1.4248
      58       2.0763       1.2164
      59       1.9420       1.1808
      60       1.9360       1.1574
      61       1.9972       1.7916
      62       2.1657       1.6739
      63       2.0948       1.2909
      64       2.0264       1.4316
      65       2.0869       1.2692
      66       2.1202       1.5144
      67       2.1089       1.7557
      68       2.0797       1.1423
      69       1.9768       1.4720
      70       2.0670       1.4703
      71       2.0213       1.5707
      72       1.8778       1.2502
      73       2.0394       1.6727
      74       1.9971       1.7777
      75       2.0795       2.1253
      76       1.9644       1.3104
      77       2.1149       1.9438
      78       2.1644       1.4406
      79       1.9241       1.3874
      80       1.9578       1.7459
      81       1.9549       1.6152
      82       2.0918       1.6153
      83       2.0120       1.1283
      84       2.1891       1.8368
      85       1.9538       1.0519
      86       2.1024       1.6632
      87       2.1571       1.4711
      88       2.1708       0.9564
      89       2.1301       1.3036
      90       2.0933       1.4952
      91       2.1680       1.5105
      92       2.0802       1.6734
      93       2.0619       1.7563
      94       2.1091       1.0024
      95       1.8315       1.2615
      96       1.9464       1.5816
      97       2.0528       1.1978
      98       1.9498       1.3158
      99       1.9598       1.1658
     100       1.8989       1.6243
     101       2.0384       1.1692
     102       2.0824       1.3628
     103       2.0197       1.3440
     104       2.0010       1.3036
     105       1.9306       1.5067
     106       2.0311       1.9454
     107       1.7719       1.1762
     108       1.8295       1.2789
     109       1.8677       1.4324
     110       1.7896       0.9271
     111       1.7535       1.1893
     112       1.8247       1.7537
     113       1.8884       1.4311
     114       1.8970       1.1679
     115       1.9159       1.4347
     116       1.8398       1.2339
     117       2.0209       1.3612
     118       1.8950       1.3955
     119       1.8660       1.3069
     120       2.0375       1.6471
     121       2.0992       1.1169
     122       1.8994       1.3505
     123       2.0445       1.1237
     124       1.9124       1.4640
     125       2.0180       1.5250
     126       2.1342       1.2262
     127       1.9391       1.4417
     128       1.9018       1.1442
     129       1.9943       1.5263
     130       1.9445       1.1226
     131       2.0333       1.2476
     132       1.9817       1.2813
     133       2.0630       1.2287
     134       2.0257       1.1823
     135       1.9500       1.2497
     136       1.8581       1.0073
     137       1.9795       1.6371
     138       1.9255       1.2909
     139       1.8833       1.1546
     140       2.0978       1.6296
     141       2.1825       1.5202
     142       1.9950       1.8212
     143       1.9573       1.2082
     144       1.8274       1.4783
     145       2.0864       1.4972
     146       1.9509       1.3536
     147       2.0818       1.8195
     148       1.9631       1.2804
     149       2.0911       1.1725
     150       2.0742       1.6817
     151       2.1859       0.9796
     152       2.0255       1.2741
     153       1.9495       0.9221
     154       2.1382       1.0879
     155       1.9311       1.0036
     156       2.0535       1.3036
     157       1.9520       1.6668
     158       1.9140       1.3509
     159       1.7994       1.3438
     160       2.1601       1.2498
     161       2.2072       1.4857
     162       2.0850       1.2068
     163       2.0469       1.4039
     164       2.0402       1.5473
     165       2.2210       1.1709
     166       1.9800       1.6545
     167       2.3293       1.1741
     168       2.0581       1.4111
     169       2.0552       1.0602
     170       2.0267       1.1758
     171       1.9547       1.2604
     172       2.0785       1.2818
     173       2.0336       1.5085
