#Frame            fit       ligand
       1       0.0000       0.0000
       2       1.2194       0.9241
       3       1.4261       1.0986
       4       1.2678       1.3148
       5       1.2690       0.8726
       6       1.3410       0.8341
       7       1.4548       1.3589
       8       1.5727       1.1949
       9       1.8316       1.0807
      10       1.6070       1.2856
      11       1.5920       1.1508
      12       1.8467       1.3299
      13       1.7251       1.4780
      14       1.7679       1.2788
      15       1.5097       0.9723
      16       1.6904       1.1458
      17       1.7530       1.4951
      18       1.6431       0.9799
      19       1.8043       1.7613
      20       1.6842       1.4079
      21       1.7807       1.3361
      22       1.8647       1.3839
      23       1.7389       1.7902
      24       1.8090       1.5060
      25       1.9641       1.9377
      26       1.6779       1.6901
      27       1.8482       1.2616
      28       1.7912       1.7393
      29       1.8519       2.3938
      30       1.7368       1.5951
      31       1.8147       1.9637
      32       1.7499       1.6840
      33       1.7750       2.0296
      34       1.9338       1.9443
      35       1.6736       1.7268
      36       1.8147       2.0824
      37       1.8294       1.5360
      38       1.7917       1.7072
      39       1.7977       1.4496
      40       1.6979       1.2554
      41       1.7732       1.4879
      42       1.6746       1.1173
      43       1.6721       1.5829
      44       1.8725       1.0738
      45       1.8264       1.4260
      46       1.8031       1.7045
      47       1.7867       1.6736
      48       1.7969       1.4155
      49       1.8035       1.5585
      50       1.8066       1.7970
      51       1.9162       1.7220
      52       1.8532       1.7699
      53       1.9245       1.8933
      54       1.7509       1.4872
      55       1.8036       1.8220
      56       1.9202       1.7900
      57       1.8643       1.5485
      58       1.6691       1.5912
      59       1.8908       1.4904
      60       1.9460       1.4492
      61       1.8939       2.0051
      62       1.7648       1.2887
      63       1.7494       1.4617
      64       1.9261       1.6855
      65       1.8720       1.7641
      66       1.8475       1.7284
      67       1.9414       1.7455
      68       1.9629       1.3294
      69       1.6325       1.4673
      70       1.9713       1.9298
      71       1.8990       1.8479
      72       1.7194       1.7158
      73       1.9279       2.1180
      74       1.8646       1.3405
      75       2.0354       1.2968
      76       1.9755       1.7751
      77       1.8697       1.3121
      78       1.8726       1.4500
      79       1.8500       1.4321
      80       2.0552       1.5099
      81       1.9921       1.5869
      82       1.8974       1.2236
      83       1.8529       1.5872
      84       2.0663       1.5685
      85       1.9655       1.8723
      86       1.7568       1.6420
      87       1.8099       1.5977
      88       1.9436       1.7857
      89       2.0420       1.6010
      90       1.7541       1.6348
      91       1.9735       1.6979
      92       1.8006       1.9405
      93       1.8455       1.8655
      94       1.8262       1.8385
      95       1.8987       1.7666
      96       1.8661       1.7369
      97       1.9313       1.4480
      98       1.8669       1.9036
      99       1.9819       1.6097
     100       1.9692       1.7052
     101       1.9022       1.6755
     102       1.8734       1.4885
     103       1.8936       1.2417
     104       1.8817       1.5371
     105       2.0838       2.5284
     106       1.7924       1.8732
     107       1.9130       1.9416
     108       1.8573       1.2023
     109       1.9871       1.6587
     110       1.8707       1.3309
     111       2.0634       1.5606
     112       2.0049       1.4180
     113       1.9072       1.2221
     114       2.0510       1.5525
     115       2.0177       1.4986
     116       2.2752       1.4822
     117       2.2068       1.8277
     118       2.0817       1.8551
     119       2.1716       2.1728
     120       1.9855       1.7305
     121       1.8526       1.6749
     122       1.9021       1.4594
     123       2.0959       2.2308
     124       1.9127       2.0784
     125       1.8457       1.7162
     126       1.9856       1.1824
     127       1.9577       1.8232
     128       1.9795       1.9613
     129       2.0162       1.3839
     130       2.0505       1.4916
     131       2.0111       1.5955
     132       1.9822       2.1006
     133       1.8647       1.4361
     134       1.9320       1.8973
     135       1.9294       2.0383
     136       1.9105       2.0618
     137       1.8535       1.4952
     138       2.0638       1.6523
     139       2.2130       2.0666
     140       2.0482       1.8254
     141       2.0945       2.3728
     142       2.0425       2.0280
     143       2.1928       1.8239
     144       2.1522       2.3168
     145       2.0495       1.8139
     146       2.0300       1.8088
     147       1.8570       1.8420
     148       2.0215       1.9984
     149       2.0706       2.4917
     150       1.9677       1.6540
     151       2.1069       1.7566
     152       2.0952       2.0136
     153       2.1957       2.4141
     154       1.9357       1.9080
     155       2.1415       1.6760
     156       2.1101       1.8431
     157       2.0508       1.4404
     158       1.9587       1.6064
     159       2.0629       1.7364
     160       1.9990       1.8130
     161       1.9713       1.3924
     162       1.9413       1.6519
     163       1.9922       1.7423
     164       2.1720       1.9175
     165       1.8609       1.8657
     166       1.9332       1.3740
     167       2.0160       2.0360
     168       2.0992       1.6034
     169       2.1296       1.6176
     170       1.8905       1.8526
     171       1.9494       1.6143
     172       1.9517       1.4398
     173       1.9603       1.5648
     174       1.9797       1.4261
     175       1.9755       1.5737
     176       1.9731       1.7702
     177       2.0994       1.7944
     178       2.2810       1.5584
     179       2.0478       1.9132
     180       2.1372       2.0364
     181       2.3924       2.0685
     182       2.1610       2.3149
     183       1.9697       1.3069
     184       2.0165       1.5112
     185       2.0094       1.3699
     186       2.1900       1.3101
     187       2.0957       1.5259
     188       1.9762       1.4556
     189       2.0933       1.2650
     190       1.9886       1.2445
     191       2.1949       1.0547
     192       2.0957       1.6462
     193       2.1719       1.5861
     194       1.9471       1.4828
     195       1.9094       1.2851
     196       1.9240       1.4590
     197       1.9677       1.5431
     198       1.9472       1.9010
     199       2.2199       1.4833
     200       2.0410       1.6115
     201       2.0983       2.3064
     202       2.1765       1.5942
     203       1.9304       1.6546
     204       1.9686       1.7040
     205       2.0016       2.0705
     206       1.7548       1.9190
     207       1.8554       1.7418
     208       1.9759       1.9557
     209       1.9258       1.8745
     210       1.9881       1.8496
     211       2.1963       1.6587
     212       2.1603       1.8348
     213       1.9574       2.1919
     214       2.1809       2.7216
     215       1.9901       2.8461
     216       2.1490       2.8318
     217       2.0182       2.4372
     218       1.8320       2.3482
     219       2.0879       1.6764
     220       1.9980       2.2730
     221       1.8869       2.3593
     222       1.8464       1.1883
     223       1.8220       1.5064
     224       1.9422       1.1687
     225       1.8244       1.6955
     226       1.7872       1.2869
     227       2.0273       1.6566
     228       2.0907       2.1167
     229       2.0177       1.9205
     230       1.9922       1.7280
     231       1.9748       1.7658
     232       2.0435       2.0753
     233       2.2685       1.6150
     234       2.0158       1.7904
     235       1.9887       1.8272
     236       2.1063       1.9894
     237       1.9865       1.4031
     238       1.9252       1.7400
     239       1.9087       1.7030
     240       2.0074       1.8463
     241       1.9627       1.4738
     242       2.0801       1.7476
     243       2.0093       1.7340
     244       2.0283       1.7377
     245       2.1429       2.1868
     246       2.0768       1.5238
     247       1.9004       1.5498
     248       1.9580       2.2294
     249       2.0383       1.8783
     250       1.9562       1.5563
     251       1.9632       1.8501
     252       1.8792       1.7451
     253       2.0730       1.2577
     254       2.0802       1.4944
     255       1.9962       1.4333
     256       2.0623       1.5593
     257       2.0089       1.5629
     258       1.9075       1.5835
     259       1.9051       1.6490
     260       1.9241       1.8077
     261       1.9445       2.4281
     262       1.9122       1.1899
     263       2.1115       1.3386
     264       2.0366       1.2546
     265       1.9350       1.6464
     266       2.4058       1.9457
     267       2.1569       1.6693
     268       2.1958       1.4557
     269       2.1559       1.5860
     270       2.0703       1.5027
     271       2.2527       2.1322
     272       2.1723       1.6312
     273       2.2275       1.3868
     274       2.0555       1.3677
     275       2.3123       1.2221
     276       2.0055       1.5978
     277       2.3420       1.8417
     278       2.0393       1.7456
     279       2.2149       1.4550
     280       2.0751       1.8890
     281       2.0505       1.8056
     282       2.2580       1.5115
     283       1.9343       1.7243
     284       1.9729       1.7331
     285       1.8542       1.6105
     286       2.0847       2.2266
     287       1.9541       1.4709
     288       2.1137       1.5250
     289       1.8669       1.7794
     290       2.0097       1.1954
     291       2.1542       2.0406
     292       1.8435       1.4711
     293       2.0927       2.2410
     294       1.9730       1.9174
     295       2.2707       2.2554
     296       2.0701       1.8940
     297       1.9309       1.8437
     298       1.9678       1.6571
     299       1.9714       1.6985
     300       2.5554       1.7525
     301       2.3175       1.4907
     302       2.0576       1.5409
     303       2.1240       1.9006
     304       2.3240       1.9477
     305       1.9712       1.7805
     306       2.1198       2.1620
     307       2.0417       2.3864
     308       2.0990       2.4186
     309       1.8572       2.3671
     310       2.2028       2.0621
     311       2.1144       2.3194
     312       2.4072       1.7795
     313       1.9880       2.4115
     314       2.3277       2.3860
     315       2.0616       2.1319
     316       2.1975       1.8113
     317       1.9092       1.6843
     318       2.0012       2.3197
     319       2.1729       1.7955
     320       2.1006       1.6024
     321       1.8427       1.7733
     322       2.0143       1.6083
     323       2.1111       1.4984
     324       2.1023       1.5440
     325       1.9990       1.5973
     326       2.1208       2.1762
     327       2.0835       1.4688
     328       2.4571       2.2049
     329       2.0579       1.5624
     330       1.9184       1.5788
     331       1.9264       2.2300
     332       1.9309       1.6885
     333       2.0207       1.6421
     334       1.9442       1.2642
     335       1.9921       1.8903
     336       1.9790       1.5572
     337       1.9319       2.1903
     338       1.8274       2.0573
     339       1.8528       1.8374
     340       1.9800       1.3409
     341       1.8793       1.4041
     342       1.8851       1.8321
     343       1.9971       1.6054
     344       1.9843       1.4572
     345       2.0545       1.6526
     346       2.1586       2.0532
     347       2.0948       1.9450
     348       1.9536       1.7680
     349       1.9963       1.4345
     350       2.1019       1.9981
     351       1.9962       1.7252
     352       2.1204       1.9360
