#Frame            fit       ligand
       1       0.0000       0.0000
       2       1.4235       0.9456
       3       1.5275       0.6627
       4       1.5942       1.2830
       5       1.5800       0.6529
       6       1.7517       0.8144
       7       1.6786       0.9914
       8       2.0555       1.2680
       9       1.7595       0.8822
      10       1.7379       0.9693
      11       1.9023       1.3642
      12       1.5828       1.0234
      13       1.7208       1.0904
      14       1.7228       1.2547
      15       1.6888       1.0144
      16       1.8005       1.3582
      17       1.7841       0.7573
      18       1.6987       1.0557
      19       1.8443       0.8557
      20       2.0094       0.9997
      21       1.8873       0.8104
      22       1.9748       1.1915
      23       1.7697       0.9116
      24       1.9030       0.8822
      25       1.7251       1.1618
      26       1.7952       1.2077
      27       1.7376       1.1550
      28       1.9849       1.1913
      29       1.8341       1.3582
      30       1.7930       0.8111
      31       1.7852       1.2110
      32       1.8815       1.2252
      33       1.6925       1.0410
      34       1.7760       0.9403
      35       1.9143       1.2436
      36       1.8434       0.9658
      37       1.8035       1.0677
      38       1.9142       0.8913
      39       1.8422       0.9872
      40       2.0529       0.7571
      41       1.7313       1.1238
      42       1.8747       0.9149
      43       1.7810       0.8849
      44       1.7343       0.7061
      45       1.6530       0.8813
      46       1.9924       0.8655
      47       1.9653       1.0943
      48       1.8400       1.0062
      49       1.9756       1.4330
      50       1.9473       1.5689
      51       1.9583       1.4062
      52       1.8775       0.9743
      53       1.8334       0.7399
      54       1.8451       0.7141
      55       1.8871       1.0178
      56       1.8980       1.2227
      57       1.9704       1.2363
      58       2.0479       1.3985
      59       2.1283       0.9355
      60       1.9148       0.9099
      61       1.8042       0.8308
      62       1.7290       0.8344
      63       1.9851       1.4047
      64       1.8862       0.9556
      65       1.8237       0.9210
      66       1.9494       1.5891
      67       1.8858       1.2968
      68       1.6921       0.8483
      69       1.7186       0.9195
      70       1.7994       0.7710
      71       1.9072       1.1289
      72       1.8396       1.1059
      73       1.9731       0.8991
      74       1.8750       1.0053
      75       1.8208       0.9120
      76       1.9219       0.9359
      77       1.7629       1.2102
      78       1.9087       0.9176
      79       1.7863       1.1423
      80       1.9771       1.1063
      81       1.9600       1.2826
      82       2.1539       0.9304
      83       2.0306       0.8976
      84       2.0325       1.2537
      85       1.7863       1.0192
      86       1.8695       1.2878
      87       1.8292       1.0640
      88       1.7875       1.2453
      89       1.8551       1.1252
      90       1.7914       1.0647
      91       1.9606       1.6643
      92       1.7700       1.3710
      93       1.9074       1.3607
      94       1.8184       1.3214
      95       2.0364       1.5088
      96       1.9456       1.4831
      97       1.9864       1.4964
      98       1.8254       1.1597
      99       1.9350       1.3770
     100       1.7646       1.3547
     101       1.8501       1.3814
     102       1.8042       1.3813
     103       1.8237       1.3146
     104       1.9097       1.2738
     105       2.1633       1.5773
     106       1.9985       1.3266
     107       1.9607       1.5103
     108       1.9180       1.4426
     109       2.0303       1.5230
     110       2.0598       1.5530
     111       1.9831       1.2630
     112       1.8590       1.3803
     113       1.7504       1.3321
     114       1.7204       1.7520
     115       1.9439       1.6578
     116       1.7969       1.6561
     117       2.0636       1.5193
     118       1.9023       1.6168
     119       1.8855       1.4672
     120       1.7889       1.7773
     121       1.7988       1.4314
     122       1.7916       1.5054
     123       1.8209       1.9601
     124       1.7430       1.9710
     125       1.8902       2.1696
     126       1.6176       2.0574
     127       1.8921       2.1049
     128       1.9092       1.9063
     129       1.7679       1.9001
     130       2.0571       2.6495
     131       1.9155       2.3485
