#Frame            fit       ligand
       1       0.0000       0.0000
       2       1.4075       1.0058
       3       1.4249       1.0768
       4       1.3456       1.0457
       5       1.8068       1.2944
       6       1.5654       1.3468
       7       1.3746       0.7804
       8       1.4501       1.0427
       9       1.5915       0.5331
      10       1.4499       0.9722
      11       1.6058       1.0016
      12       1.5900       0.9667
      13       1.6445       1.0654
      14       1.6862       0.6960
      15       1.5541       0.6090
      16       1.6846       0.8901
      17       1.4084       1.0469
      18       1.4975       1.0618
      19       1.4927       0.9437
      20       1.5639       1.3542
      21       1.6149       1.0768
      22       1.5831       0.6534
      23       1.6047       0.9118
      24       1.6097       0.7470
      25       1.6151       0.7138
      26       2.0154       0.9953
      27       1.6523       1.7597
      28       1.5170       0.9915
      29       1.7805       1.3422
      30       1.6428       1.2647
      31       1.7879       0.9197
      32       1.6267       1.2341
      33       1.7161       1.4509
      34       1.7775       1.1909
      35       1.8778       0.5352
      36       1.7236       1.4152
      37       1.5179       0.9888
      38       1.9853       1.2675
      39       1.7100       1.0460
      40       1.9521       2.3788
      41       1.9574       2.5427
      42       1.8695       1.4250
      43       1.7268       1.5970
      44       1.5898       1.0935
      45       1.6799       1.0440
      46       1.6489       1.3300
      47       1.7765       2.1673
      48       1.7255       1.9146
      49       1.9491       2.1876
      50       1.7763       1.5808
      51       1.7443       1.8413
      52       1.9410       2.6025
      53       1.7206       2.0370
      54       1.7453       2.0938
      55       1.8616       2.3433
      56       2.0650       2.2230
      57       1.7840       2.2373
      58       1.8763       2.1754
      59       1.6276       1.5602
      60       1.8011       1.6104
      61       1.6496       1.3921
      62       1.7090       1.8008
      63       1.6951       1.6950
      64       1.7641       2.0948
      65       1.8749       1.5799
      66       1.7640       2.0254
      67       1.7618       1.4607
      68       1.8493       2.9388
      69       1.7505       1.7544
      70       1.6507       0.9095
      71       1.6151       1.5289
      72       1.6279       1.2369
      73       1.7021       1.2789
      74       1.8365       1.4842
      75       1.5921       1.2012
      76       1.6966       1.3240
      77       1.9799       1.7665
      78       2.0145       1.5302
      79       1.7253       1.5915
      80       1.7719       1.3742
      81       1.7916       1.5824
      82       1.6944       1.6699
      83       1.7027       1.8967
      84       1.6457       1.5958
      85       1.7350       1.2968
      86       1.7998       1.1695
      87       1.8473       1.6440
      88       2.0758       1.6241
      89       1.7610       1.7590
      90       2.2128       1.6541
      91       2.2012       2.1200
      92       2.0916       1.7792
      93       1.8894       1.6545
      94       1.9014       1.5308
      95       1.9172       2.0318
      96       2.0311       1.8191
      97       1.9770       2.7360
      98       2.0967       1.8871
      99       2.0010       1.3836
     100       1.8742       1.4949
     101       1.7701       0.7998
     102       1.7439       1.0827
     103       1.9475       1.0352
     104       2.0045       1.3620
     105       1.8357       0.9105
     106       1.8121       1.0563
     107       1.7886       1.8579
     108       1.8841       1.0379
     109       1.7948       1.7369
     110       1.8581       1.6404
     111       1.7966       1.1781
     112       2.0582       1.2599
     113       1.9001       1.3543
     114       1.9758       1.2491
     115       1.8684       1.1990
     116       1.9513       1.1357
     117       1.9818       1.0743
     118       1.7744       0.8765
     119       1.8982       0.9026
     120       1.9910       0.8953
     121       1.8084       1.0164
     122       1.8278       1.3182
     123       1.7165       1.5830
     124       1.7673       1.3285
     125       1.8299       1.5180
     126       1.8640       1.1863
     127       2.0000       1.9886
     128       1.8154       1.4544
     129       1.8347       1.3248
     130       1.7958       1.3205
     131       1.6183       1.5281
     132       1.8016       0.8726
     133       1.7682       1.0076
     134       1.7507       1.6571
     135       1.8837       1.9522
     136       1.8893       2.4000
     137       1.8318       1.3889
     138       1.7449       1.7156
     139       1.9399       1.6719
     140       1.8443       1.2523
     141       1.8111       1.1438
     142       2.0169       0.9008
     143       1.7906       1.3041
     144       1.9277       1.3763
     145       1.8777       1.6241
     146       1.9523       1.0089
     147       1.8462       1.5604
     148       1.9118       1.7653
     149       1.9467       1.4887
     150       1.9840       1.4729
     151       1.7398       1.7043
     152       1.7843       1.9508
     153       1.7926       1.2536
     154       1.7444       1.4492
     155       1.7494       1.1392
     156       1.6534       1.4422
     157       1.6835       1.4393
     158       1.7341       1.1816
     159       1.7686       1.1043
     160       1.7632       1.3142
     161       1.6165       0.9825
     162       1.7321       1.4851
     163       1.9509       1.0930
     164       1.8192       0.5557
     165       1.6726       0.7995
     166       1.5536       0.9062
     167       1.6736       1.2000
     168       1.7434       1.0909
     169       1.8016       0.9139
     170       1.7576       0.9527
     171       1.7163       0.7607
     172       1.7051       1.1164
     173       1.7378       0.7711
     174       1.6953       0.7111
     175       1.8152       0.8946
     176       1.9058       1.0054
     177       1.7168       1.3961
     178       1.8054       0.6238
     179       1.8569       1.2961
     180       1.7720       0.9833
     181       1.8907       1.1311
     182       1.8785       0.7380
     183       1.6953       1.0222
     184       1.8227       1.2034
     185       1.7917       1.9017
     186       1.6992       1.2509
     187       1.6752       1.0130
     188       1.8154       1.1970
     189       1.7590       1.4918
     190       1.6934       1.0287
     191       1.6857       0.5685
     192       1.8312       0.6554
     193       1.6616       0.6498
     194       1.8134       0.5808
     195       1.7114       1.1026
     196       1.7080       1.2473
     197       1.7146       1.0354
     198       1.5770       1.3039
     199       1.6174       1.2605
     200       1.7031       0.9304
     201       1.8805       0.9866
     202       1.6811       1.3862
     203       1.8508       1.2537
     204       1.8916       1.1384
     205       1.6862       1.0064
     206       1.7843       0.8935
     207       1.8346       1.2925
     208       1.7391       0.8652
     209       1.8122       1.2026
     210       1.7458       0.9953
     211       1.8186       1.1247
     212       1.7561       0.8173
     213       1.7059       0.5240
     214       1.8931       0.8011
     215       1.5920       0.7938
     216       1.8238       0.7867
     217       1.8810       0.6029
     218       1.9495       0.7903
     219       1.9341       0.8642
     220       1.7989       0.9404
     221       1.6574       1.0059
     222       1.8222       0.7793
     223       1.8818       0.7707
     224       1.6323       1.2038
     225       1.8538       0.7469
     226       1.9464       1.0366
     227       1.7816       0.5848
     228       1.9679       0.8235
     229       2.0679       1.5175
     230       1.8315       1.1575
     231       1.9414       1.7401
     232       2.2000       1.3188
     233       1.9810       1.0360
     234       1.7148       1.3817
     235       1.7455       1.2273
     236       2.1031       1.3813
     237       1.9727       1.2325
     238       1.9731       1.1912
     239       2.0469       1.2653
     240       1.8697       1.0700
     241       1.8487       0.9055
     242       1.8767       1.3475
     243       1.8402       1.7469
     244       1.8938       1.7407
     245       1.8752       1.2743
     246       1.9352       1.5009
     247       2.0020       1.1507
     248       1.8972       1.3177
     249       1.9688       1.4500
     250       1.8994       1.4289
     251       1.9624       1.3353
     252       2.0004       1.3994
     253       2.0819       1.3401
     254       1.8784       1.4188
     255       1.8529       1.6333
     256       2.0537       1.5626
     257       1.7726       1.1766
     258       1.9275       1.3257
     259       1.9886       1.4520
     260       1.9150       1.4752
     261       1.8872       1.3613
     262       1.8728       1.6473
     263       1.9143       1.5258
     264       2.0096       1.4140
     265       2.0132       1.2429
     266       2.1101       1.9946
     267       2.0602       1.3541
     268       2.0105       1.3502
     269       2.1192       1.4351
     270       2.1033       1.4702
     271       2.1335       1.4182
     272       2.1927       1.5858
     273       2.1016       1.4604
     274       2.1314       1.6195
     275       2.0021       1.4308
     276       2.2173       1.5385
     277       2.3405       1.6273
     278       2.0074       1.3989
     279       1.9568       1.6356
     280       2.1118       1.4621
     281       1.9409       1.1830
     282       1.7906       1.2512
     283       1.8314       1.3741
     284       1.8102       1.8897
     285       2.0148       1.4755
     286       2.3116       1.5739
     287       1.7607       1.3204
     288       1.9385       1.3848
     289       2.0004       1.4284
     290       1.9773       1.4082
     291       1.7272       1.3311
     292       2.0464       1.6191
     293       2.1488       1.4491
     294       2.6245       1.5922
     295       2.2312       2.0440
     296       2.0495       2.2924
     297       1.9076       2.7116
     298       2.2373       2.2578
     299       2.0954       2.4500
     300       1.8792       2.6647
     301       2.1978       2.2736
     302       2.2384       2.3720
     303       2.4992       1.5269
     304       2.2894       1.8050
     305       2.2152       1.6880
     306       2.3109       1.6945
     307       2.2322       1.3943
     308       2.1750       1.5536
     309       2.2840       1.6846
     310       2.3944       1.6438
     311       2.2351       1.5288
     312       2.2529       1.4443
     313       2.1200       1.6762
     314       2.1972       1.6318
     315       2.0238       1.4415
     316       1.9864       1.6249
     317       2.0955       1.3565
     318       2.1635       1.5229
     319       2.1019       1.6627
     320       2.0198       2.2323
     321       2.3980       2.1613
     322       2.0567       2.5580
     323       2.1587       2.4172
     324       2.0012       2.3855
     325       2.1819       2.5136
     326       2.1038       2.3886
     327       2.2413       2.2579
     328       2.2039       2.1283
     329       2.3576       2.4529
     330       2.2206       2.0707
     331       2.3632       2.3313
     332       2.3356       2.5659
     333       2.2669       2.5806
     334       2.2865       2.6587
     335       2.3150       2.3666
     336       2.1080       2.4620
     337       2.2931       2.2688
     338       2.1798       2.2239
     339       2.2789       2.5590
     340       2.2172       2.4377
     341       2.1473       2.4986
     342       2.1693       3.1341
     343       2.0563       2.5698
     344       2.2216       2.2350
     345       2.0753       2.9580
     346       2.1820       2.3769
     347       1.9890       2.2572
     348       2.1195       2.6244
     349       1.9815       2.4717
     350       2.1928       2.5027
     351       2.2143       2.9799
     352       2.1715       2.7571
     353       2.2024       2.7713
     354       2.1837       2.5452
     355       2.1026       2.8683
     356       2.0461       2.7772
     357       2.2368       2.8250
     358       2.3938       1.8509
     359       2.1109       2.2579
     360       2.3170       2.6210
     361       2.1381       3.1620
     362       1.9008       3.1046
     363       1.8143       1.9175
     364       2.1603       1.8231
     365       2.2914       1.9869
     366       2.0955       1.4612
     367       2.1993       1.5447
     368       1.8605       1.7194
     369       2.0176       1.5139
     370       2.0512       1.4655
     371       1.8186       1.4666
     372       2.0793       1.4538
     373       2.1462       1.5795
     374       2.2579       1.6427
     375       2.2346       1.4140
     376       2.2909       1.8758
     377       2.1625       1.6397
     378       2.1008       1.8657
     379       2.3360       2.1039
     380       2.3793       1.6421
     381       2.4013       1.4758
     382       2.2578       1.9041
     383       2.3447       1.8331
     384       2.3191       2.1179
     385       2.2177       1.7702
     386       2.4399       2.3540
     387       2.2746       2.0749
     388       2.3431       2.1010
     389       2.4102       1.8745
     390       2.3081       1.7342
     391       1.9581       1.8214
     392       2.1700       1.9928
     393       2.3445       1.6612
     394       2.1202       2.2165
     395       2.0163       1.3975
     396       2.0962       1.5320
     397       2.1228       1.3836
     398       2.2458       1.5695
     399       2.1595       1.6195
     400       2.0568       1.7835
     401       2.4020       1.5505
     402       2.1307       1.3964
     403       2.5323       1.9262
     404       2.0882       1.6818
     405       2.1031       1.6433
     406       2.0689       1.8963
     407       1.9587       1.6313
     408       2.1555       1.8499
     409       1.9694       1.7582
     410       2.2428       1.5174
     411       1.9879       1.5771
     412       2.0769       1.6080
     413       2.0937       1.4366
     414       2.3567       1.4516
     415       2.1990       1.7361
     416       2.2410       1.5754
     417       2.2295       1.8399
     418       2.2816       1.6986
     419       2.4647       2.0813
     420       2.4360       2.4034
     421       2.4502       1.9673
     422       2.1400       1.5782
     423       1.9209       1.8587
     424       1.9631       1.5021
     425       2.1628       1.5307
     426       2.0143       1.5079
     427       2.1656       1.8298
     428       2.1410       1.7541
     429       2.0012       1.6788
     430       1.8558       1.6142
     431       2.0933       1.7310
     432       2.3812       1.8650
     433       2.3514       1.7895
     434       2.1513       1.8970
     435       2.1739       1.8960
     436       2.4273       1.9535
     437       2.2491       1.5799
     438       2.4839       1.6351
     439       2.1449       1.5226
     440       2.3204       1.7673
     441       2.1252       1.7408
     442       1.9458       1.7342
     443       1.8507       1.4494
     444       1.8234       1.5706
     445       1.9791       1.6455
     446       1.9377       1.5432
     447       1.8873       1.7832
     448       2.0083       1.6621
     449       2.0595       1.7582
     450       2.1008       1.5943
     451       2.1824       1.7299
     452       2.3241       1.6472
     453       2.2055       1.7755
     454       2.1142       1.6964
     455       2.1085       1.4502
     456       1.9323       1.3399
     457       2.0063       1.1976
     458       2.1333       1.6952
     459       2.0304       1.5148
     460       2.0368       1.8298
     461       2.2701       1.6416
     462       2.0979       1.1570
     463       2.1380       1.4860
     464       2.1247       1.5671
     465       1.9858       1.3911
     466       2.1070       1.6640
     467       2.1550       1.6679
     468       2.2425       1.8270
     469       2.1683       1.4924
     470       2.1663       2.0264
     471       2.2484       1.3800
     472       2.2311       1.4316
     473       2.0150       1.5585
     474       2.1224       2.0465
     475       2.1009       1.5737
     476       2.2730       1.4389
     477       2.5026       1.5236
     478       2.3013       1.8398
     479       2.4094       1.7368
     480       2.4776       1.6193
     481       2.5185       1.5747
     482       2.3183       1.8429
     483       2.1369       1.5772
     484       2.0290       1.9501
     485       1.9923       1.6449
     486       2.0710       1.7344
     487       2.3682       1.7617
     488       2.3071       1.5633
     489       2.2081       1.8031
     490       2.1975       2.5392
     491       2.1230       1.8084
     492       2.2039       1.4589
     493       2.0580       1.7844
     494       2.0901       2.0366
     495       2.0708       1.7649
     496       1.9364       1.7976
     497       1.9971       1.4247
     498       1.8798       1.7294
     499       1.7983       1.9346
     500       2.0803       2.3315
     501       1.5363       1.3032
     502       1.3908       1.2108
     503       1.4639       0.7668
     504       1.5252       1.0577
     505       1.5559       1.1024
     506       1.5849       1.4637
     507       1.6525       1.4880
     508       1.6737       1.3711
     509       1.6459       1.5212
     510       1.6048       1.0862
     511       1.5895       0.9176
     512       1.8230       1.5616
     513       1.7000       1.1899
     514       1.6490       0.9652
     515       1.5873       1.2700
     516       1.6260       1.1033
     517       1.9915       1.4520
     518       1.5987       0.9370
     519       2.0295       0.9225
     520       1.7302       1.4033
     521       1.7026       1.1348
     522       1.8046       0.8762
     523       1.7696       1.0450
     524       1.8529       0.7918
     525       1.9277       1.4586
     526       1.7996       1.0084
     527       1.7947       0.6437
     528       1.6470       1.0815
     529       1.7785       1.0311
     530       1.7690       1.0041
     531       1.8086       1.0426
     532       1.6756       0.9074
     533       1.8513       1.4138
     534       1.5901       1.0647
     535       1.6853       1.0340
     536       1.7791       1.3476
     537       1.6720       1.3323
     538       1.5348       0.9069
     539       1.5881       0.9249
     540       1.6539       1.0107
     541       1.5856       1.2870
     542       1.6143       1.4643
     543       1.5579       1.5091
     544       1.6733       1.1702
     545       1.6499       0.9353
     546       1.6036       1.6905
     547       1.5918       1.0499
     548       1.6168       1.1859
     549       1.7066       1.4596
     550       1.8183       1.6046
     551       1.7685       1.2468
     552       1.9230       1.5622
     553       1.7158       1.3919
     554       1.6207       1.2134
     555       1.7709       1.1555
     556       1.5155       1.8265
     557       1.5712       1.7295
     558       1.7100       1.4170
     559       1.6861       1.7124
     560       1.8221       1.9635
     561       1.8224       1.5947
     562       1.7903       1.5874
     563       1.8963       1.7778
     564       1.6991       1.4484
     565       1.8533       1.5816
     566       1.5931       1.4792
     567       1.8200       1.6782
     568       1.5826       1.5497
     569       1.7153       1.6358
     570       1.6502       1.5543
     571       1.6085       1.8556
     572       1.8155       1.8798
     573       1.7160       1.6621
     574       1.5307       1.5977
     575       1.7174       1.3721
     576       1.8670       1.6815
     577       1.6871       1.4454
     578       1.5439       1.4288
     579       1.5593       1.3355
     580       1.8605       1.6551
     581       1.6729       1.4413
     582       1.6958       1.0905
     583       1.7377       1.2696
     584       1.7771       1.7097
     585       1.9325       1.5799
     586       1.7777       1.6446
     587       1.9915       1.8900
     588       1.8161       1.6426
     589       1.5974       1.3829
     590       1.6015       1.4808
     591       1.7957       1.4872
     592       1.8157       1.5440
     593       1.7015       1.7976
     594       1.7380       1.5020
     595       1.9253       1.3469
     596       2.0732       1.5219
     597       1.7994       1.7424
     598       1.9336       1.4941
     599       2.0988       1.4567
     600       2.0677       1.4535
     601       1.9578       1.6025
     602       1.8193       1.2815
     603       1.8419       1.2834
     604       1.8089       1.5340
     605       1.7689       1.2114
     606       1.8119       1.6132
     607       1.8314       1.5097
     608       1.9751       1.7210
     609       2.0461       1.7111
     610       1.8242       1.4707
     611       1.9640       1.5392
     612       2.2005       1.7976
     613       2.0820       1.4093
     614       2.2068       1.4307
     615       1.8599       2.3010
     616       2.1940       2.0163
     617       1.9157       1.6517
     618       1.9332       1.4966
     619       2.0202       1.3330
     620       2.1393       1.5572
     621       2.0883       1.3733
     622       1.9366       1.6395
     623       2.2641       1.8613
     624       2.1545       1.8361
     625       2.1429       1.7046
     626       2.1319       1.6488
     627       1.9564       1.3579
     628       1.9549       1.4988
     629       2.0140       1.5231
     630       1.9836       1.6880
     631       1.9845       1.7960
     632       2.0249       1.5043
     633       2.0940       1.4723
     634       2.0857       1.3898
     635       2.0537       1.6236
     636       2.1811       1.6365
     637       2.0712       1.6681
     638       2.1876       1.8169
     639       2.0173       1.6762
     640       2.0413       1.4331
