#Frame            fit       ligand
       1       0.0000       0.0000
       2       1.2892       2.0298
       3       1.3490       2.0938
       4       1.5482       1.4650
       5       1.3368       1.9854
       6       1.3099       1.0556
       7       1.6626       1.5185
       8       1.5032       1.7008
       9       1.5812       1.6458
      10       1.5905       1.3561
      11       1.4989       1.8612
      12       1.5666       1.8559
      13       1.6724       1.4429
      14       1.4908       0.9711
      15       1.5126       1.7565
      16       1.5185       1.6484
      17       1.5816       1.3919
      18       1.5800       2.0978
      19       1.7010       1.8482
      20       1.6038       1.7719
      21       1.6581       1.6991
      22       1.4946       2.0826
      23       1.7452       2.0757
      24       1.5231       1.7223
      25       1.5586       1.9797
      26       2.0031       1.9348
      27       1.6820       1.9443
      28       2.0632       1.9180
      29       1.6859       2.0525
      30       1.9002       2.1842
      31       1.7954       2.1368
      32       1.6768       2.0296
      33       1.7701       1.5160
      34       1.9285       1.8131
      35       2.0057       1.3868
      36       1.9553       1.5611
      37       1.9181       1.4654
      38       2.0012       1.8182
      39       1.7450       1.7401
      40       1.8348       2.0631
      41       1.8058       1.9108
      42       1.9664       2.0681
      43       1.8413       2.1077
      44       1.7608       2.1162
      45       1.8327       1.7775
      46       1.7831       2.1362
      47       1.7900       1.9984
      48       1.8090       1.8188
      49       1.9043       2.5836
      50       1.7991       1.7593
      51       1.7313       1.7051
      52       1.7955       1.7435
      53       1.7317       1.8690
      54       1.6590       2.2460
      55       1.5868       2.1695
      56       1.9499       1.9905
      57       1.8668       1.8242
      58       1.6773       1.6980
      59       1.6667       1.7521
      60       1.8157       1.7597
      61       1.8142       1.9777
      62       1.7629       2.0910
      63       1.8042       2.2514
      64       1.7092       2.0802
      65       1.8046       1.8094
      66       1.6061       1.7696
      67       1.7112       1.5233
      68       1.7200       2.1810
      69       1.9027       1.4591
      70       2.1023       1.6599
      71       1.9317       1.8832
      72       1.9754       1.7019
      73       2.0021       2.0245
      74       1.7391       2.1279
      75       1.7593       2.1221
      76       1.8164       1.7603
      77       1.9041       1.5720
      78       1.8033       1.6533
      79       1.8392       1.8223
      80       1.7725       1.7923
