#Frame            fit       ligand
       1       0.0000       0.0000
       2       1.3949       1.1854
       3       1.6149       1.7190
       4       1.4863       0.9212
       5       1.5062       1.6511
       6       1.5709       0.9832
       7       1.5966       0.8436
       8       1.7322       1.0914
       9       1.5049       0.9511
      10       1.7582       1.4090
      11       1.6183       1.1021
      12       1.7701       1.3773
      13       1.7559       1.5802
      14       1.6672       1.2279
      15       1.7552       1.3954
      16       1.8199       1.2000
      17       1.8218       1.0908
      18       1.6312       1.3613
      19       1.6078       1.3932
      20       1.6026       1.1679
      21       1.6896       1.3915
      22       1.8117       1.4080
      23       1.7560       2.1092
      24       2.0140       1.3808
      25       1.7968       2.6884
      26       1.7749       2.5973
      27       2.0617       3.1165
      28       1.7739       2.0382
      29       1.9103       2.0940
      30       1.6535       2.3318
      31       1.8693       2.0567
      32       1.7866       1.8836
      33       1.8525       2.5926
      34       1.8275       2.1804
      35       1.8015       1.4662
      36       2.0793       1.8380
      37       1.9844       1.4069
      38       1.8726       1.8162
      39       1.8776       1.9263
      40       1.8281       2.6373
      41       2.3295       1.8823
      42       1.8432       2.0561
      43       2.1112       1.3159
      44       2.0096       1.3413
      45       2.1629       1.2527
      46       1.8635       1.2695
      47       1.8873       1.1854
      48       2.1249       1.3067
      49       2.1602       1.3162
      50       2.0966       1.1040
      51       2.0213       1.1092
      52       2.3476       1.0170
      53       2.0596       0.9278
      54       2.2113       1.2267
      55       2.1773       1.3428
      56       2.0954       1.0950
      57       2.1196       1.2944
      58       1.9035       1.1843
      59       2.1654       1.3694
      60       1.9723       1.4633
      61       1.9526       1.4375
      62       2.2473       1.6245
      63       2.1777       1.1010
      64       2.2205       1.2563
      65       2.4262       1.2770
      66       2.1860       1.4062
      67       2.1712       1.2951
      68       2.3258       1.1093
      69       1.9443       1.2274
      70       2.1289       1.1676
      71       2.0012       0.9283
      72       2.0700       0.9924
      73       1.7976       1.9347
      74       1.9060       1.6123
      75       1.8466       1.2362
      76       1.7507       0.7301
      77       1.6800       1.2170
      78       1.7869       1.1206
      79       1.7450       1.2602
      80       1.7147       0.9865
      81       2.0513       1.3569
      82       1.7895       1.2244
      83       2.0737       1.9343
      84       1.8952       1.4250
      85       1.6549       1.0255
      86       1.8222       2.1009
      87       1.8742       2.0663
      88       2.1321       2.0949
      89       2.2366       2.9539
      90       1.9910       1.9829
      91       2.2077       1.9662
      92       2.0245       1.9297
      93       1.8732       2.2950
      94       1.9932       1.9061
      95       1.9289       1.6231
      96       1.8670       2.1023
      97       2.1407       1.9719
      98       2.1873       1.9934
      99       2.2070       2.2119
     100       1.9416       2.1892
     101       1.9606       2.1886
     102       2.0906       2.2792
     103       1.9424       2.2843
     104       2.0286       2.2171
     105       2.0413       2.0645
     106       2.0670       1.9783
     107       1.9415       2.0006
     108       1.8996       2.1860
     109       1.9266       2.0600
     110       1.7969       2.4004
     111       1.8603       2.1799
     112       2.0460       2.0083
     113       1.9054       2.3593
     114       1.9390       2.6776
     115       1.9147       2.8054
     116       1.8938       2.7823
     117       1.8642       2.1591
     118       1.9718       2.4149
     119       1.7325       2.2158
     120       1.9384       2.3498
     121       1.9771       2.6688
     122       2.1852       2.2922
     123       1.9833       2.3821
     124       2.0850       2.3265
     125       2.2206       2.1532
     126       2.4671       2.5526
     127       2.5705       3.9704
     128       2.5009       2.9285
     129       2.2751       3.6125
     130       2.9296       3.5307
     131       2.8428       3.8552
     132       3.5022       3.3750
     133       2.3971       3.7134
     134       2.4949       3.8645
     135       3.2166       3.4505
     136       3.5183       3.6023
     137       3.1178       3.2784
     138       3.4209       2.5589
     139       2.9813       3.4134
     140       2.5667       3.2516
     141       2.4473       3.1925
     142       2.6929       3.8012
     143       2.5359       3.8694
     144       2.4431       3.6648
     145       2.4982       3.7579
     146       2.6100       4.7013
     147       2.5355       3.7715
     148       2.6328       3.8344
     149       2.3287       3.3214
     150       2.5762       3.5845
     151       2.5434       4.0190
     152       2.5411       3.6980
     153       2.3603       4.0372
     154       2.5649       3.7915
     155       2.4679       4.3872
     156       2.8529       4.2653
     157       2.4751       4.4488
     158       2.9559       3.4711
     159       2.9522       3.4421
     160       2.7000       3.0693
     161       2.5218       3.4750
     162       2.3513       3.5887
     163       2.4665       3.5554
     164       2.4110       3.4355
     165       2.4847       3.5018
     166       2.5207       3.2963
     167       2.6950       3.1440
     168       2.3492       3.7338
     169       2.6621       3.2914
     170       2.8034       3.8578
     171       2.6524       3.3895
     172       2.2382       3.3216
     173       2.4780       3.0673
     174       2.6649       4.1665
     175       2.5077       3.7947
     176       2.4321       3.5192
     177       2.4718       3.7023
     178       2.3623       3.9976
     179       2.2398       3.8080
     180       2.3348       3.1351
     181       2.3782       3.8898
     182       2.6130       3.6835
     183       2.8408       4.1173
     184       3.1923       3.8624
     185       2.4545       3.1423
     186       3.0263       2.6269
     187       2.5272       3.4786
     188       3.3682       3.9966
     189       2.9980       3.1443
     190       2.9176       3.7030
     191       3.3417       2.9716
     192       2.9620       4.5465
     193       3.2351       4.5544
     194       2.9118       3.9560
     195       2.6499       4.1003
     196       2.9522       3.8150
     197       2.8571       3.3631
     198       2.5495       3.6795
     199       2.5721       3.1966
     200       2.6771       3.4710
     201       2.5399       2.9138
     202       2.2728       3.2481
     203       2.2268       3.3428
     204       2.6324       3.7806
     205       2.2892       3.2805
     206       2.4476       3.3254
     207       2.2683       2.8972
     208       2.1410       2.9960
     209       2.2131       3.3011
     210       2.1209       3.1633
     211       2.1470       3.0518
     212       2.0721       3.2002
     213       2.2613       2.7207
     214       2.1315       2.6754
     215       2.0689       2.8225
     216       2.1210       2.8592
     217       2.0695       2.4975
     218       2.0426       2.4628
     219       2.1345       2.3548
     220       2.0412       2.8096
     221       2.1791       2.6077
     222       2.4866       2.6671
     223       2.3726       2.6965
     224       2.5523       2.2809
     225       2.4520       2.5978
     226       2.5254       2.5420
     227       2.8109       2.7873
     228       2.5136       2.4743
     229       2.7629       2.6171
     230       2.3413       2.5962
     231       2.6237       2.5359
     232       2.2883       2.4485
     233       2.7743       2.7222
     234       3.4197       2.8906
     235       2.3177       2.7436
     236       2.8516       2.6088
     237       3.3889       2.5232
     238       2.9515       2.9506
     239       2.5234       2.2811
     240       2.6818       2.3404
     241       2.6913       2.2212
     242       2.8484       2.5635
     243       2.3926       2.4408
     244       3.0888       2.6533
     245       3.2056       2.5323
     246       2.5073       2.1590
     247       2.3558       2.1102
     248       2.4937       2.4609
     249       2.4241       2.2715
     250       2.9188       2.2755
     251       2.2852       2.4585
     252       2.7304       2.5525
     253       2.2642       2.1120
     254       2.3860       2.1843
     255       2.2374       2.0600
     256       2.7686       2.3893
     257       2.7254       2.2528
     258       2.4911       2.1634
     259       2.4376       2.2931
     260       2.5023       2.1912
     261       2.5851       2.4044
     262       2.8172       2.4012
     263       2.7644       2.9096
     264       2.9116       2.2388
     265       2.6586       2.2080
     266       2.2181       2.2224
     267       3.0581       2.4167
     268       2.8387       2.3021
     269       2.5394       2.5499
     270       2.4422       2.4643
     271       2.9472       2.6937
     272       3.6848       2.2944
     273       3.0735       2.3960
     274       2.8554       2.4819
     275       2.2522       2.1847
     276       2.5763       2.3321
     277       2.9438       2.1480
     278       2.5244       2.3152
     279       2.2693       2.0576
     280       2.2638       1.8377
     281       2.4518       2.2192
     282       2.3402       2.3785
     283       2.3716       2.5144
     284       2.3057       2.5938
     285       2.3937       2.5508
     286       2.2865       2.7457
     287       2.1703       2.2024
     288       2.4809       2.4677
     289       2.2927       2.7559
     290       2.3732       2.4434
     291       2.8017       3.4000
     292       2.4173       3.0000
     293       2.2114       2.6826
     294       2.0934       2.3931
     295       2.5815       2.4008
     296       2.1553       2.6707
     297       2.0955       2.2073
     298       3.0812       2.6139
     299       2.3745       2.7107
     300       2.3030       2.4500
     301       2.1333       3.1979
     302       2.1889       3.0509
     303       2.5322       2.5335
     304       2.1383       2.8417
     305       2.3368       2.6090
     306       2.3071       2.2801
     307       3.0176       2.3527
     308       2.4713       3.3612
     309       2.1447       2.2349
     310       2.3674       2.6291
     311       2.7813       3.2731
     312       2.2210       2.7248
     313       2.8277       2.5335
     314       2.5383       2.4023
     315       2.1948       2.3372
     316       2.2938       2.4419
     317       2.3532       2.3525
     318       2.2646       2.6631
     319       2.5675       2.7595
     320       2.3530       2.6353
     321       2.1441       3.1177
     322       2.2352       3.7889
     323       2.0924       2.6804
     324       2.1023       2.4975
     325       2.2245       2.4822
     326       2.0926       2.3126
     327       2.2660       2.2882
     328       2.2099       2.4416
     329       2.1218       2.4716
     330       2.0112       2.3435
     331       2.5375       2.5152
     332       2.2891       2.5590
     333       2.2056       2.5829
     334       2.1266       2.5887
     335       2.3597       2.6967
     336       2.1653       2.3936
     337       2.1747       2.3497
     338       2.2164       2.5928
     339       2.7171       2.7844
     340       2.5261       2.3218
     341       2.3864       2.6927
     342       2.5211       2.6349
     343       2.1397       2.6907
     344       2.4983       2.6928
     345       2.3391       2.4235
     346       2.5559       3.0289
     347       2.3006       2.2485
     348       2.7686       2.6885
     349       2.8537       2.6329
     350       2.8578       2.7395
     351       2.5983       2.3492
     352       2.7288       3.0065
     353       2.1639       2.7910
     354       2.4063       2.6618
     355       3.4055       2.6628
     356       2.7546       2.2512
     357       2.9150       3.3900
     358       2.9293       2.3483
     359       2.9860       2.2658
     360       2.3925       2.6510
     361       2.5868       3.2028
     362       2.8111       3.2490
     363       3.2701       2.8706
     364       2.9187       2.8090
     365       2.8694       2.8959
     366       2.6542       2.8873
     367       2.6313       2.4694
     368       3.0815       2.4551
     369       2.6820       3.2252
     370       3.1216       2.5326
     371       2.6522       3.5911
     372       3.7185       3.3947
     373       3.3388       3.4170
     374       2.8131       3.7758
     375       2.6952       3.2777
     376       3.6239       2.9892
     377       3.0486       3.4614
     378       3.0547       2.1761
     379       3.0372       1.5652
     380       3.2233       1.9433
     381       3.4332       2.3216
     382       2.4813       2.1062
