#Frame            fit       ligand
       1       0.0000       0.0000
       2       1.6107       2.1388
       3       1.6677       3.0036
       4       1.6445       1.7928
       5       1.6087       2.3023
       6       1.7985       1.9846
       7       1.8485       1.7060
       8       1.8513       2.0268
       9       1.8687       2.0460
      10       1.8649       2.1960
      11       1.7458       1.7042
      12       1.8015       1.7962
      13       2.1110       2.4945
      14       1.8724       2.0420
      15       1.9302       1.1261
      16       1.9492       1.9183
      17       1.9089       1.5952
      18       2.0631       1.9306
      19       1.7756       1.8688
      20       1.8370       1.7281
      21       1.8729       1.7051
      22       1.8969       1.7186
      23       2.0873       1.9640
      24       1.9582       1.6658
      25       1.9428       2.0683
      26       1.9856       1.9033
      27       1.7668       1.7142
      28       1.9918       2.8809
      29       2.1264       3.9127
      30       2.1313       3.8582
      31       2.2928       3.9135
      32       2.2663       3.6627
      33       2.0645       3.1759
      34       2.2441       4.8241
      35       2.7700       5.7325
      36       2.1120       4.1802
      37       2.5606       5.4210
      38       2.5300       5.9149
      39       2.4721       5.6460
      40       2.1407       4.7211
      41       2.0357       4.0968
      42       2.0840       3.9425
      43       2.0514       3.6818
      44       2.2191       4.0541
      45       2.3055       4.1288
      46       2.2453       4.5105
      47       2.2205       4.7560
      48       2.6623       4.2696
      49       2.6428       6.3277
      50       2.1626       3.9826
      51       2.1878       4.1718
      52       2.4093       6.5365
      53       2.4040       4.7119
      54       2.4937       3.8356
      55       2.1760       4.4854
      56       2.3587       4.5374
      57       2.4408       4.5925
      58       2.6943       4.9021
      59       2.4580       4.6946
      60       2.3057       4.4916
      61       2.5297       4.8598
      62       2.3519       4.0081
      63       2.5534       3.7184
      64       2.9940       4.1180
      65       2.7558       4.3922
      66       2.7102       4.1144
      67       2.7101       3.5944
      68       2.4686       3.5521
      69       2.9237       3.9237
      70       2.5277       3.7032
      71       2.8480       3.4620
      72       3.2145       3.3791
      73       2.9911       4.2625
      74       2.9216       5.1306
      75       2.6805       4.5714
      76       2.5534       4.4674
      77       2.4960       4.5406
      78       3.0537       4.0499
      79       2.4637       5.5588
      80       2.6300       4.2262
      81       2.7333       3.4064
      82       2.9039       3.8882
      83       2.5236       3.8998
      84       2.6634       3.9021
      85       2.5355       2.8701
      86       2.3490       2.4804
      87       3.5892       3.7891
      88       3.3461       4.3425
      89       2.7686       3.7751
      90       2.7625       3.5184
      91       2.9164       4.3263
      92       2.8336       4.2658
      93       2.6489       3.6826
      94       2.5397       4.6148
      95       2.7133       3.4124
      96       2.7243       3.3445
      97       3.1579       3.7148
      98       2.6699       4.1435
      99       2.5273       4.0156
     100       2.5958       3.3942
     101       2.2747       3.4006
     102       2.3319       3.7397
     103       2.5557       3.4192
     104       2.5705       3.9109
     105       3.0714       5.1752
     106       2.7542       5.1280
     107       3.1137       4.6702
     108       2.8215       3.7690
     109       2.7581       4.8889
     110       2.7112       4.0163
     111       3.0290       3.7241
     112       2.9806       4.5502
     113       3.4349       3.9757
     114       2.6957       3.9287
     115       3.4310       3.8956
     116       2.8386       4.5417
     117       3.4123       4.5838
     118       3.1481       5.6766
     119       2.8808       4.4128
     120       3.5249       4.8017
     121       3.0695       3.8340
     122       3.1647       4.2207
     123       3.2193       4.2747
     124       3.5532       4.1601
     125       2.6981       4.0898
     126       3.1269       4.3751
     127       3.1385       4.5241
     128       3.3824       3.3922
     129       2.9762       3.7110
     130       3.2647       4.3370
     131       3.3182       4.1795
     132       2.9000       3.7633
     133       3.3624       4.5493
     134       2.7825       3.9953
