#Frame            fit       ligand
       1       0.0000       0.0000
       2       1.2892       1.3119
       3       1.3847       1.6439
       4       1.5007       1.0258
       5       1.4559       1.6691
       6       1.4949       1.2354
       7       1.5562       1.3918
       8       1.4605       1.2307
       9       1.4982       1.1018
      10       1.4670       1.2666
      11       1.4781       1.6264
      12       1.7682       1.6254
      13       1.4973       1.4396
      14       1.5583       1.3167
      15       1.5147       1.3618
      16       1.4449       1.4943
      17       1.4339       1.5309
      18       1.5395       1.5105
      19       1.6509       1.5815
      20       1.5841       1.7244
      21       1.4915       1.6488
      22       1.5574       1.6840
      23       1.9446       1.6193
      24       1.6499       1.2117
      25       1.7785       2.6238
      26       1.8314       1.9882
      27       1.8345       2.6364
      28       1.9189       2.2743
      29       1.7678       2.6031
      30       1.8368       2.5397
      31       1.7670       2.6581
      32       1.6963       2.1701
      33       1.8388       2.7352
      34       1.8770       2.7321
      35       1.8809       2.6491
      36       1.7662       2.5328
      37       1.8381       2.1768
      38       1.8755       2.6530
      39       2.0068       2.6657
      40       1.9184       2.3763
      41       1.8890       2.4664
      42       1.8390       2.6282
      43       1.9102       2.6461
      44       2.1722       3.2374
      45       1.8221       2.5264
      46       1.7450       3.0387
      47       1.8488       2.6756
      48       1.8645       2.8024
      49       1.8753       2.3654
      50       2.0970       2.0594
      51       2.4498       2.0376
      52       1.9963       2.0146
      53       2.3462       1.8125
      54       1.9728       2.0647
      55       2.2768       2.9728
      56       2.8345       4.2899
      57       2.6426       3.5368
      58       2.3213       3.6111
      59       2.7003       3.6350
      60       2.5633       3.3775
      61       2.5205       3.5993
      62       3.1132       3.7268
      63       2.0986       3.8544
      64       2.1265       3.5976
      65       2.2214       3.5215
      66       2.5995       3.2674
      67       2.1897       3.3060
      68       2.5137       3.5449
      69       2.2720       3.8734
      70       1.9709       3.4802
      71       2.2055       3.6263
      72       2.2213       3.4543
      73       2.4360       3.3859
      74       2.8006       3.5687
      75       2.5798       3.2830
      76       2.1728       3.7361
      77       2.0203       3.2866
      78       2.2897       3.2126
      79       2.1867       3.4811
      80       2.1873       3.4507
      81       2.0492       3.1511
      82       1.9146       3.3090
      83       2.4459       3.4472
      84       2.0195       3.1613
      85       2.0871       3.3084
      86       1.9481       3.5200
      87       2.3784       3.9283
      88       2.0169       2.9022
      89       2.2766       3.2891
      90       2.1435       3.0874
      91       2.0674       3.6983
      92       2.2096       3.5535
      93       2.0323       3.6191
      94       2.1659       4.3126
      95       2.1068       3.5357
      96       2.2094       4.2565
      97       1.9575       3.7857
      98       2.2585       3.9257
      99       2.2752       4.7164
     100       2.2638       4.0802
     101       2.2403       3.7534
     102       2.5776       4.6699
     103       2.8598       4.5820
     104       2.1861       4.0886
     105       2.3339       4.5429
     106       2.3893       3.9933
     107       2.7839       4.6232
     108       2.4276       4.9399
     109       2.9103       4.6087
     110       2.7499       5.3429
     111       2.9440       3.5918
     112       3.7070       4.0000
     113       4.5486       4.5120
     114       2.9552       4.0676
     115       3.6173       4.7961
     116       3.7495       3.6966
     117       3.5663       6.2649
     118       3.7818       6.5458
     119       4.2495       8.4825
     120       3.4570       7.2779
     121       3.3763      10.2235
     122       3.1325       9.1361
     123       3.2062       9.3459
     124       3.3616       8.4658
     125       3.0822       9.2715
     126       2.7785       8.8581
     127       2.9090       8.4500
     128       2.7491       8.3048
     129       2.8679       8.1889
     130       2.8912       9.1785
     131       2.6874       8.5940
     132       2.8038       8.9223
     133       2.7064       8.4583
     134       2.6368       9.0059
     135       2.5528       8.4513
     136       2.6318       9.0694
     137       2.5962       8.4426
     138       2.5629       8.5955
     139       2.6433       8.9992
     140       3.0956       9.3238
     141       2.9422       8.6436
     142       2.5935       8.5223
     143       2.8380       8.0231
     144       2.9669       7.7552
     145       2.5585       8.1219
     146       2.7098       8.0872
     147       2.6740       8.9376
     148       2.6755       8.8400
     149       2.4808       9.0050
     150       2.7776       9.2681
     151       2.9271       9.4475
     152       2.6350       8.6152
     153       2.6670       9.3752
     154       2.8494      10.2055
     155       2.7003      10.8123
