#Frame            fit       ligand
       1       0.0000       0.0000
       2       1.1238       0.5561
       3       1.2283       0.9233
       4       1.5734       0.8617
       5       1.6229       1.0542
       6       1.5864       0.6387
       7       1.8141       1.1382
       8       1.7963       1.0650
       9       1.8052       1.1015
      10       1.7890       1.1369
      11       2.0106       2.3676
      12       1.9550       1.7820
      13       2.0324       1.9932
      14       2.1583       1.5454
      15       1.9070       2.0118
      16       2.0058       1.7696
      17       1.8046       1.0082
      18       1.7720       0.8094
      19       1.6512       0.7168
      20       1.8014       1.0963
      21       1.8611       0.7732
      22       1.8582       1.1154
      23       1.8400       1.2991
      24       1.9249       1.1782
      25       1.9157       1.0684
      26       1.8275       1.3489
      27       1.9103       1.3436
      28       1.9510       1.0700
      29       1.7500       1.0747
      30       1.8844       1.3672
      31       2.0559       1.5398
      32       2.0104       1.2063
      33       2.0263       1.2460
      34       1.8566       1.1990
      35       1.8518       1.1041
      36       1.8336       1.5633
      37       1.5964       0.8191
      38       1.8623       0.5972
      39       1.8176       1.0189
      40       1.6437       1.2848
      41       1.8716       1.6326
      42       1.7932       1.0905
      43       1.8830       1.3188
      44       1.7887       1.2988
      45       1.8659       1.1132
      46       1.8203       1.3489
      47       1.8478       1.4537
      48       1.8272       1.1878
      49       1.5741       1.1079
      50       1.7783       1.3040
      51       1.5094       1.2825
      52       1.6685       1.4295
      53       1.7352       0.8588
      54       1.6850       1.0955
      55       1.5382       0.9397
      56       1.5353       0.6876
      57       1.5780       0.7120
      58       1.5551       0.8326
      59       1.6295       0.7269
      60       1.8139       0.9414
      61       1.6353       1.0995
      62       1.8075       0.7769
      63       1.5184       0.8578
      64       1.7883       1.5015
      65       1.7447       1.1687
      66       1.5465       1.1872
      67       1.5903       1.0751
      68       1.4860       1.3442
      69       1.4367       1.0934
      70       1.5425       1.0767
      71       1.7320       1.0411
      72       1.9184       1.5045
      73       1.6831       1.0543
      74       1.8493       1.4005
      75       1.8280       1.2609
      76       1.8338       1.4243
      77       1.6490       0.9250
      78       1.8633       0.5844
      79       1.9954       1.6288
      80       1.9636       1.3642
      81       1.8867       1.1254
      82       1.6735       1.2663
      83       1.8904       0.8887
      84       1.6192       0.9842
      85       1.6107       1.2974
      86       1.7453       0.9378
      87       1.5220       1.5572
      88       1.7245       1.0730
      89       1.9537       1.5068
      90       1.7146       0.8079
      91       1.5891       0.6968
      92       1.5472       0.9076
      93       1.8779       1.2148
      94       1.7310       1.0999
      95       1.7266       0.7881
      96       1.8023       0.8920
      97       1.5939       1.2711
      98       1.7857       0.8882
      99       1.8521       1.2334
     100       1.7156       0.7347
     101       1.8376       1.6998
     102       1.7456       1.2428
     103       1.9105       1.0118
     104       1.8039       0.9273
     105       1.6360       0.9551
     106       1.6577       0.7968
     107       1.6818       0.8221
     108       1.8301       1.0943
     109       1.7081       1.1631
     110       1.7088       1.4396
     111       1.9528       1.2004
     112       1.9625       1.4759
     113       1.6943       1.3681
     114       1.7733       1.2465
     115       1.6322       1.3525
     116       1.5808       1.3047
     117       1.5937       1.3341
     118       1.6012       1.0699
     119       1.7739       1.0507
     120       1.7319       1.4046
     121       1.6781       1.3533
     122       1.7620       1.5541
     123       1.7201       1.3293
     124       1.7512       1.5307
     125       1.7814       1.4882
     126       1.7180       1.6175
     127       1.6286       1.4312
     128       1.6940       1.4169
     129       1.5171       1.6521
     130       1.6135       1.6400
     131       1.5355       1.5892
     132       1.5928       1.5451
     133       1.5512       1.5713
     134       1.6402       1.2409
     135       1.6730       1.9595
     136       1.6883       1.2807
     137       1.7234       1.8367
     138       1.6624       1.6373
     139       1.8094       1.8597
     140       1.9511       1.3759
     141       1.7647       1.5748
     142       1.6379       1.6399
     143       1.6919       1.6909
     144       1.7071       1.7349
     145       1.7677       1.7471
     146       1.6494       1.7734
     147       1.7686       1.7214
     148       1.6953       1.6402
     149       1.7497       1.5670
     150       1.7543       1.8757
     151       1.6495       1.6293
     152       1.7148       1.7939
     153       1.7037       1.4461
     154       1.6623       1.2613
     155       1.7386       1.1678
     156       1.7304       1.6246
     157       1.8273       1.1235
     158       1.7272       1.3767
     159       1.7519       1.6419
     160       1.7256       1.6725
     161       1.6908       1.3283
     162       1.7865       1.1784
     163       2.0218       1.3726
     164       1.9652       1.6430
     165       1.8792       1.4753
     166       1.8712       1.3131
     167       1.8544       1.2971
     168       1.8331       1.1729
     169       1.8901       1.4135
     170       1.8209       1.4103
     171       1.8766       1.7449
     172       1.8272       1.5237
     173       1.8390       1.3826
     174       1.8518       1.3828
     175       1.7701       1.3552
     176       1.8769       1.3323
     177       1.6982       1.6441
     178       1.9879       1.7936
     179       1.9572       1.4818
     180       1.9843       1.7427
     181       1.9069       1.4637
     182       1.8351       1.2486
     183       1.7825       1.2392
     184       1.8815       1.4814
     185       2.0598       1.1461
     186       1.7876       1.3206
     187       1.8031       1.1672
     188       1.8716       1.7223
     189       1.8769       1.5449
     190       1.6800       1.0829
     191       1.6498       1.3051
     192       1.7479       1.1322
     193       2.0306       1.4869
     194       1.8551       1.3656
     195       1.7715       1.1691
     196       1.9022       1.5961
     197       1.7986       1.3674
     198       1.9389       1.6610
     199       1.8703       1.4727
     200       1.8432       1.3678
     201       1.9079       1.2275
     202       1.7283       1.1357
     203       1.8132       1.3953
     204       1.8283       1.1873
     205       1.7818       1.4160
     206       1.6982       1.4364
     207       1.8565       1.4919
     208       1.7210       1.9017
     209       1.8085       1.6023
     210       1.6940       1.2482
     211       1.6248       1.9625
     212       1.6139       1.8653
     213       1.5810       1.8517
     214       1.7085       1.6518
     215       1.7852       1.6991
     216       1.6984       1.9011
     217       1.8430       1.6659
     218       1.7431       1.7320
     219       1.8578       2.0318
     220       1.8024       1.7101
     221       1.9483       1.8020
     222       2.0128       1.8888
     223       1.9847       2.0184
     224       1.8370       1.5641
     225       1.9573       1.6243
     226       1.7492       1.6680
     227       1.8198       1.2722
     228       1.7690       1.6115
     229       1.5922       1.6955
     230       1.8471       1.5048
     231       1.6653       1.4572
     232       1.8380       1.2082
     233       1.9480       1.1322
     234       1.8741       1.5254
     235       1.9635       1.5100
     236       1.9589       1.6732
     237       2.1312       1.5670
     238       1.8747       1.6911
     239       2.2308       1.6769
     240       2.0253       1.7014
     241       2.2113       1.3705
     242       2.1108       1.7236
     243       2.0921       1.2292
     244       1.9692       1.1839
     245       1.9495       1.5050
     246       1.7986       1.4668
     247       1.7611       1.1558
     248       2.0357       1.4203
     249       1.9477       1.2359
     250       1.9202       1.5983
     251       1.8437       1.6705
     252       1.9277       1.3081
     253       1.9965       1.3351
     254       1.9734       1.7598
     255       2.0098       1.7396
     256       1.9894       1.9756
     257       1.9131       1.6550
     258       1.8886       1.3665
     259       1.8777       1.5319
     260       2.1750       1.8081
     261       2.0037       1.5915
     262       2.1484       1.7204
     263       2.1160       1.7832
     264       2.0242       1.4983
     265       1.8975       1.5581
     266       1.9078       1.5941
     267       2.0258       1.6674
     268       1.9285       1.6666
     269       1.9451       1.7987
     270       2.1541       1.9114
     271       1.8880       1.8693
     272       1.9461       2.0376
     273       1.9617       1.7624
     274       1.9529       1.6679
     275       1.9647       1.3591
     276       2.0800       1.4693
     277       1.9758       1.3593
     278       1.9362       1.4863
     279       1.9801       1.5007
     280       1.7626       1.4787
     281       1.9059       1.6245
     282       2.0866       1.3782
     283       1.9331       1.5416
     284       1.8123       1.8080
     285       1.7911       0.9635
     286       1.8227       1.3598
     287       1.8356       1.2520
     288       1.9038       1.2939
     289       1.8679       1.4712
     290       1.8293       1.2204
     291       1.9723       1.3454
     292       1.9191       1.2818
     293       1.9601       1.4104
     294       2.0439       2.0399
     295       1.8008       1.4490
     296       1.9034       1.4287
     297       1.8331       1.3273
     298       1.9658       1.5123
     299       2.0185       1.7244
     300       2.0581       1.3972
     301       1.9127       0.8747
     302       2.0134       1.6960
     303       1.9460       1.7000
     304       1.9635       1.3038
     305       2.1004       1.5548
     306       1.9752       1.5516
     307       1.8395       1.6159
     308       2.0895       1.5557
     309       1.9997       1.5147
     310       1.9065       1.2799
     311       1.8726       1.6114
     312       1.8181       1.4376
     313       1.9858       1.4895
     314       1.9211       1.3660
     315       2.2209       1.3928
     316       1.9237       1.3131
     317       1.9635       1.4846
     318       2.0466       1.4547
     319       1.9068       1.5922
     320       1.9691       1.6151
     321       1.9402       1.1867
     322       1.8184       1.3653
     323       1.9707       1.5496
     324       1.9533       1.3092
     325       1.9283       1.1865
     326       2.0026       1.2817
     327       2.0955       1.5614
     328       2.0204       1.4265
     329       1.8445       1.2841
     330       2.0105       1.4506
     331       2.2471       1.4532
     332       1.8182       1.4123
     333       2.0601       1.4714
     334       2.3901       1.6955
     335       1.8979       1.4658
     336       1.8825       1.4120
     337       2.0737       1.6311
     338       1.9305       1.4622
     339       2.0476       1.8306
     340       1.9380       1.8459
     341       1.8760       1.5011
     342       2.0299       1.1793
     343       1.8358       1.3937
     344       1.8366       1.3685
     345       1.9408       1.4721
     346       2.0562       1.5885
     347       1.8730       1.5175
     348       2.0585       1.5886
     349       1.7935       1.5074
     350       1.6760       1.4899
     351       1.9020       1.3842
     352       2.0452       1.2932
     353       1.9060       0.8747
     354       2.0158       1.3700
     355       1.9689       1.1356
     356       1.9976       1.1639
     357       1.8574       0.8276
     358       2.0387       1.2467
     359       2.0397       1.4527
     360       2.0972       1.3197
     361       1.9909       1.5456
     362       1.9839       1.1746
     363       2.0299       1.2830
     364       2.1344       0.8519
     365       2.0586       1.2253
     366       2.0610       1.2785
     367       2.1568       1.3409
     368       2.0362       1.5488
     369       1.9119       1.3251
     370       1.7055       1.2245
     371       1.9777       1.5467
     372       1.8745       1.5196
     373       1.8507       1.1885
     374       1.9367       1.6233
     375       1.8513       1.2127
     376       1.7632       1.4085
     377       1.8927       1.2888
     378       1.8904       1.4415
     379       2.0719       1.5147
     380       2.0394       1.7406
     381       1.8829       1.5665
     382       1.7336       1.6253
     383       2.0540       1.9825
     384       2.0917       1.4879
     385       2.0617       1.8160
     386       2.0225       1.4289
     387       1.9303       1.4386
     388       1.9148       1.6295
     389       2.0258       1.9639
     390       2.0367       1.5777
     391       1.8622       1.6297
     392       1.8645       1.1443
     393       1.8803       1.5275
     394       1.8051       1.2553
     395       2.0401       1.4106
     396       1.8911       1.0418
     397       1.8237       1.3400
     398       2.0259       1.6379
     399       1.8990       1.6323
     400       1.9788       1.5254
     401       1.8979       1.4950
     402       1.9778       1.5895
     403       1.9874       1.4557
     404       2.1004       1.8280
     405       1.9534       1.7548
     406       2.2857       1.9277
     407       1.9763       1.4111
     408       1.9968       1.7080
     409       1.8859       1.5519
     410       1.8405       1.6544
     411       1.9724       1.4748
     412       1.7521       1.6284
     413       1.8256       1.4935
     414       1.7157       1.4903
     415       1.9069       1.4788
     416       2.1189       1.8483
     417       1.7281       1.5459
     418       1.9053       1.5368
     419       1.9142       1.8848
     420       1.8258       1.5973
     421       2.0563       1.5815
     422       1.7893       1.5555
     423       1.7876       1.8264
     424       1.7218       1.7618
     425       1.6290       1.2131
     426       1.8355       1.6154
     427       1.9333       1.4065
     428       1.7248       1.0769
     429       1.7250       1.3949
     430       1.7791       1.0719
     431       1.6503       1.4000
     432       1.9328       1.5142
     433       1.8761       1.3397
     434       1.8322       1.3318
     435       1.7362       1.3237
     436       1.7790       1.3245
     437       1.5864       1.0631
     438       1.7542       1.2222
     439       1.9419       1.1535
     440       1.7059       1.1463
     441       1.7419       1.2198
     442       1.7568       1.3655
     443       1.8156       1.1231
     444       1.6282       1.2502
     445       1.8164       1.1584
     446       1.7144       1.2188
     447       1.7086       1.3426
     448       1.9745       1.0008
     449       2.0909       1.1906
     450       1.6916       1.0905
     451       1.7015       1.2303
     452       1.7821       1.5779
     453       1.7294       1.4242
     454       1.8124       1.5050
     455       1.8660       1.4375
     456       1.8197       1.0195
     457       1.9220       1.2134
     458       1.7410       0.9955
     459       1.9302       1.4828
     460       1.7962       1.2410
     461       1.8022       1.4359
     462       1.9287       1.5410
     463       1.8029       1.2127
     464       1.7652       1.5364
     465       1.9305       1.4405
     466       1.8831       1.8047
     467       1.8970       1.1405
     468       1.8303       1.1011
     469       1.8607       1.7283
     470       1.7701       1.1971
     471       1.9710       1.5352
     472       1.7935       1.5437
     473       1.9765       1.5004
     474       1.7510       1.1990
     475       1.8769       1.3214
     476       1.8415       1.5339
     477       1.8726       2.0785
     478       1.7799       1.0847
     479       1.7682       1.5140
     480       1.8754       1.2764
     481       1.7429       1.2438
     482       1.9117       1.1803
     483       1.8968       1.2737
     484       2.1337       1.6997
     485       1.9159       1.1219
     486       1.7890       1.1870
     487       1.8667       1.4768
     488       1.9252       1.6671
     489       2.0552       1.5441
     490       1.9793       1.4940
     491       1.8869       1.5798
     492       1.8735       1.2073
     493       2.1474       1.3868
     494       1.8538       1.4210
     495       1.9588       1.2726
     496       1.9403       1.4875
     497       1.8245       1.2374
     498       2.0077       1.6897
     499       1.9831       1.3745
     500       1.8266       1.2614
     501       1.4106       0.8545
     502       1.4129       0.8293
     503       1.2262       1.0196
     504       1.5995       1.2850
     505       1.3991       1.1136
     506       1.5218       1.1700
     507       1.3509       0.7367
     508       1.4993       0.9501
     509       1.5307       0.9671
     510       1.3875       1.4916
     511       1.7481       1.3928
     512       1.5430       1.1982
     513       1.7395       1.4283
     514       1.4366       0.6031
     515       1.6065       0.7993
     516       1.5069       0.9492
     517       1.7174       0.6756
     518       1.7245       1.4955
     519       1.8343       1.5598
     520       1.8015       1.5603
     521       1.9226       1.5564
     522       1.9053       1.4092
     523       1.6782       1.1543
     524       1.5841       1.5297
     525       1.6494       1.3368
     526       1.8476       1.5852
     527       1.6548       1.2855
     528       1.6435       1.0825
     529       1.6410       1.3176
     530       1.9943       1.7537
     531       1.8724       0.7922
     532       1.7980       1.4416
     533       1.8354       1.5602
     534       1.7831       1.4764
     535       1.7957       1.3194
     536       1.8738       1.2122
     537       2.1099       2.0556
     538       1.6577       1.5571
     539       1.8518       1.2681
     540       1.8190       1.4408
     541       1.9985       1.2959
     542       1.9542       1.8431
     543       2.0020       1.3231
     544       1.9650       1.3832
     545       2.0226       1.5837
     546       2.0641       1.6560
     547       1.9158       1.6496
     548       1.8795       1.8364
     549       1.8446       1.6026
     550       1.8519       1.8851
     551       2.1226       1.8479
     552       1.9271       1.8217
     553       1.6415       1.4565
     554       1.7792       1.7213
     555       1.8453       1.6273
     556       1.7453       1.9182
     557       1.9527       1.6248
     558       1.9219       1.5844
     559       1.8500       1.8544
     560       1.8866       1.5196
     561       1.6884       1.8966
     562       1.8834       1.7718
     563       1.7805       1.7340
     564       2.0987       2.0547
     565       1.9828       1.5251
     566       1.9289       2.2466
     567       1.7616       1.7682
     568       1.7404       1.8501
     569       1.7405       1.4858
     570       1.7004       1.7180
     571       1.7255       1.5723
     572       1.9107       1.9150
     573       1.8470       1.8016
     574       1.7330       1.4444
     575       1.6870       1.7839
     576       1.7478       1.7371
     577       1.8060       1.6331
     578       1.8718       1.7288
     579       1.8043       1.9962
     580       1.8775       2.0388
     581       1.8846       1.8274
     582       1.8689       1.6713
     583       1.9581       2.0641
     584       1.9320       1.8950
     585       1.8972       1.9940
     586       1.9491       1.9528
     587       2.0937       1.8268
     588       1.9034       1.7683
     589       1.9027       1.7143
     590       1.6442       1.7184
     591       1.7393       1.6102
     592       1.7473       1.7215
     593       1.8616       1.4620
     594       1.8574       1.9437
     595       1.7200       1.6863
     596       1.8438       2.0057
     597       1.7279       1.6389
     598       1.8194       1.4165
     599       1.8494       1.7170
     600       1.7278       1.9009
     601       1.8021       1.6802
     602       1.7357       1.4686
     603       1.7355       1.8865
     604       1.8520       1.6157
     605       1.9104       1.5011
     606       1.7664       1.2586
     607       1.8473       1.7402
     608       2.0312       1.3002
     609       2.0050       1.5290
     610       1.7958       1.6955
     611       1.9307       1.4121
     612       1.9658       1.2196
     613       1.8144       1.6021
     614       1.7785       1.4538
     615       1.8365       1.4830
     616       2.0171       1.4740
     617       1.9339       0.9992
     618       1.8649       1.2523
     619       1.8368       1.2746
     620       1.9168       1.0475
     621       1.9937       1.1620
     622       1.8883       1.2592
     623       1.7474       1.7326
     624       1.8870       1.3147
     625       1.8255       1.0868
     626       2.0316       1.5311
     627       1.8316       1.4430
     628       2.1554       1.8989
     629       2.0469       1.8075
     630       1.9458       1.3721
     631       1.9632       1.6039
     632       1.9278       1.6148
     633       1.7964       1.6341
     634       1.8711       1.3106
     635       1.9086       1.5172
     636       1.7915       1.6322
     637       1.8789       1.8022
     638       1.8387       1.6190
     639       1.9405       1.4776
     640       1.9174       1.5762
     641       2.0996       1.5300
     642       1.8687       1.4841
     643       1.9031       1.3041
     644       1.7318       1.3498
     645       1.9353       1.8708
     646       1.8642       1.4637
     647       1.9974       1.7206
     648       1.9176       1.3514
     649       1.7221       1.7772
     650       1.8527       1.3548
     651       1.8994       1.5393
     652       1.7891       1.4378
     653       1.6796       1.3746
     654       1.8012       1.3863
     655       1.5963       0.8604
     656       1.8171       1.3700
     657       1.7350       0.9246
     658       1.6518       1.2415
     659       1.7701       1.2834
     660       1.8272       0.9612
     661       1.7080       1.6167
     662       1.7456       1.7916
     663       1.7191       1.0600
     664       1.6743       1.3209
     665       1.7594       1.0902
     666       1.6579       1.3535
     667       1.8483       1.5990
     668       1.7031       0.9785
     669       1.8190       1.4315
     670       1.6207       1.3584
     671       1.6004       0.9188
     672       1.8817       1.5349
     673       1.7480       1.3307
     674       1.7321       1.1379
     675       1.8482       1.3673
     676       1.8341       1.4149
     677       1.7797       1.3853
     678       1.7350       1.2224
     679       1.7461       0.9823
     680       1.7625       1.1705
     681       1.7898       1.5730
     682       1.8120       1.5963
     683       1.7644       1.3943
     684       1.8736       1.3833
     685       1.7740       1.4708
     686       1.8118       1.5534
     687       1.5815       1.4452
     688       1.5740       1.0093
     689       1.5279       1.0864
     690       1.7221       1.1876
     691       1.7190       1.2117
     692       1.7583       1.3089
     693       1.7739       1.2611
     694       2.0218       1.3559
     695       1.7164       1.6964
     696       1.8642       1.3006
     697       1.7986       1.3637
     698       1.8851       0.6303
     699       2.1120       2.1582
