#Frame            fit       ligand
       1       0.0000       0.0000
       2       1.3771       0.8781
       3       1.5448       0.7924
       4       1.6649       1.3224
       5       1.7130       1.1724
       6       1.7854       0.9042
       7       1.6951       1.2043
       8       1.7403       0.8457
       9       1.7186       0.8961
      10       1.7627       1.0975
      11       1.6487       1.0604
      12       1.7242       1.0009
      13       1.6948       1.0559
      14       1.7322       1.0781
      15       1.7168       1.0204
      16       1.8138       1.0333
      17       1.7055       1.0062
      18       1.7646       1.1596
      19       1.7048       1.0695
      20       1.8084       1.1882
      21       1.8218       1.1160
      22       1.7117       1.1420
      23       1.7436       0.9625
      24       2.0174       1.1590
      25       1.7361       1.0962
      26       1.7475       1.1284
      27       2.0809       1.3337
      28       1.8545       1.0493
      29       1.9782       1.1018
      30       1.6756       0.9116
      31       1.9397       1.3034
      32       1.7897       0.9920
      33       1.8571       1.1364
      34       1.8665       1.2301
      35       1.8839       1.2544
      36       1.7564       1.1770
      37       1.9850       2.7687
      38       2.2058       2.7464
      39       1.8393       3.2993
      40       1.8428       2.2518
      41       1.8644       2.3025
      42       1.8278       2.1296
      43       1.7873       2.1952
      44       1.9411       2.6813
      45       2.1541       2.9589
      46       2.0145       3.2221
      47       1.8322       2.9940
      48       1.8589       2.5426
      49       1.9553       2.9810
      50       1.7675       2.8845
      51       1.9141       2.5990
      52       1.7465       3.1948
      53       2.0100       3.0383
      54       1.7932       2.7373
      55       1.7893       2.8430
      56       2.0488       3.0713
      57       1.7008       2.7638
      58       2.1167       2.4202
      59       2.0060       1.9187
      60       1.9661       2.4138
      61       1.7648       1.8456
      62       2.0072       2.4223
      63       1.7367       2.4761
      64       1.7778       2.5010
      65       1.8396       2.6759
      66       1.7429       2.7240
      67       1.8640       3.2025
      68       1.8354       3.1562
      69       1.7762       3.6708
      70       1.9198       3.7470
      71       2.1402       3.1869
      72       2.0777       4.1258
      73       1.9632       3.6336
      74       1.9748       3.9839
      75       1.9777       4.0240
      76       2.0430       3.5161
      77       1.8809       3.3350
      78       2.1869       3.8150
      79       1.9577       3.3734
      80       1.9693       3.4454
      81       2.0590       3.5260
      82       1.8613       3.2670
      83       1.8811       3.2687
      84       2.0373       4.0257
      85       2.2064       3.7949
      86       2.1352       3.6354
      87       1.8540       3.4261
      88       2.1569       3.7837
      89       1.9181       3.6878
      90       2.0661       3.4394
      91       1.7834       2.8769
      92       1.7281       3.5034
      93       1.9280       3.8654
      94       1.7631       3.1851
      95       1.9244       3.5469
      96       1.8839       3.2674
      97       2.0376       3.3377
      98       1.9700       4.1249
      99       1.7770       3.1238
     100       2.0385       1.9373
     101       1.9533       2.7330
     102       1.9949       2.3913
     103       2.4690       2.3269
     104       1.9242       2.8071
     105       2.0420       2.5046
     106       2.1105       2.3310
     107       2.2245       2.2182
     108       2.0894       2.2979
     109       1.9428       2.7520
     110       2.0574       2.4582
     111       1.9689       2.6315
     112       2.1389       2.2888
     113       1.7590       3.0465
     114       1.6823       2.4219
     115       1.7547       2.5987
     116       1.6858       2.7863
     117       1.8804       2.4387
     118       2.1329       2.8620
     119       2.0868       2.2599
     120       1.7484       1.4638
     121       1.7416       1.7693
     122       1.7162       1.4781
     123       1.6322       1.7587
     124       1.7933       2.4828
     125       1.8360       3.6163
     126       1.8033       4.1745
     127       1.5792       4.6291
     128       1.6875       4.4749
     129       1.6561       3.7673
     130       1.6546       5.4162
     131       1.9421       5.4728
     132       1.8381       3.9566
     133       1.7896       4.3416
     134       1.7616       3.1181
     135       1.7848       3.6346
     136       1.8256       2.6035
     137       1.7872       3.9841
     138       2.1248       3.1468
     139       1.8592       4.2839
     140       1.9012       3.4937
     141       1.9953       4.2358
     142       1.6612       3.2704
     143       1.7815       2.4695
     144       1.7194       3.4356
     145       1.6985       3.4616
     146       1.8968       3.6047
     147       1.7686       3.6978
     148       2.0569       3.4711
     149       2.0329       4.5113
     150       1.8950       3.8747
     151       1.9911       4.7693
     152       1.9489       4.6758
     153       1.8519       3.1569
     154       1.8443       4.3982
     155       1.8634       3.6070
     156       1.8482       3.8035
     157       1.8146       2.5285
     158       1.8822       2.8349
     159       1.8001       3.3772
     160       2.1079       3.1589
     161       1.8515       3.3381
     162       1.8956       2.9698
     163       1.9283       3.5999
     164       2.0807       3.4320
     165       1.9022       3.0451
     166       2.0147       3.5359
     167       1.9819       3.2584
     168       2.0278       4.1213
     169       1.9317       5.0222
     170       2.1502       5.8236
     171       1.9900       5.1410
     172       1.9417       5.6100
     173       1.9242       4.5619
     174       2.1113       4.5427
     175       1.9852       5.3215
     176       2.1748       4.8912
     177       2.1682       4.5540
     178       2.0117       4.2600
     179       1.9302       5.9184
     180       2.1125       3.1856
     181       2.0145       3.4123
     182       2.0950       4.7007
     183       2.0314       4.1749
     184       2.0006       3.1069
     185       2.0919       3.9074
     186       1.8893       3.6478
     187       1.8297       3.6092
     188       1.9629       4.2929
     189       1.8992       3.1031
     190       2.0188       3.6788
     191       2.0308       3.7330
     192       2.0281       3.3007
     193       1.7673       3.3841
     194       1.9243       4.4143
     195       2.0935       4.5003
     196       1.8738       3.8053
     197       1.7780       3.5036
     198       1.9023       4.7789
     199       1.8109       3.8167
     200       1.8163       4.0300
     201       2.2153       4.0075
     202       1.6488       3.2013
     203       1.6195       3.2821
     204       1.9120       3.3452
     205       2.0106       4.9986
     206       1.7492       3.6554
     207       2.0276       3.6550
     208       2.0543       3.9159
     209       2.0289       4.7858
     210       1.9461       4.0651
     211       2.4366       2.7925
     212       2.0243       5.7752
     213       1.7981       5.6648
     214       1.8998       4.3760
     215       2.2035       4.9732
     216       1.9258       3.5292
     217       2.0775       5.5821
     218       2.1216       4.4704
     219       2.2009       3.4412
     220       2.1729       4.3542
     221       2.2837       4.7022
     222       2.2279       4.9718
     223       2.5291       5.3551
     224       2.5693       2.5054
     225       2.3101       4.0370
     226       2.0617       4.9086
     227       2.3938       3.8067
     228       2.2398       3.7945
     229       3.1613       4.2543
     230       2.6296       4.9610
     231       2.9026       5.7642
     232       2.8179       5.8856
     233       3.2817       5.8427
     234       2.4133       5.3223
     235       2.6259       6.2250
     236       3.0642       6.1308
     237       2.4689       6.8352
     238       2.6719       5.7744
     239       2.9885       5.7945
     240       2.8372       5.1917
     241       2.9525       6.4539
     242       2.5848       6.4785
     243       4.2001       6.6056
     244       3.6776       6.5209
     245       3.9304       6.7741
     246       4.5772       6.0236
     247       2.6354       6.4034
     248       4.6060       6.4941
     249       4.5050       6.9794
     250       3.8306       6.3292
     251       3.0876       7.4202
     252       3.8357       7.2577
     253       3.4761       7.2035
     254       5.1236       8.6874
     255       3.0515       6.4812
     256       3.2490       7.0201
     257       3.3451       8.3571
     258       3.9232       7.6498
     259       4.3644       9.8842
     260       4.2810       8.6211
     261       3.3665       7.1796
     262       4.5839       9.0803
     263       4.2139       8.6903
     264       4.9476       8.9459
     265       3.9004       9.2538
     266       5.2876       8.9761
     267       3.8519       7.3569
     268       3.6395       8.3549
     269       4.1081       8.3286
     270       3.9533       8.4522
     271       3.3597       8.6297
     272       4.1688       9.2454
     273       4.6910       8.6480
     274       4.6535       8.8349
     275       3.5579       8.0007
     276       3.8306       8.5033
     277       3.8386       8.3429
     278       3.7973       8.8492
     279       2.9559       8.4142
     280       3.8020       9.8788
     281       4.5087      11.2433
     282       4.1947      11.5758
     283       3.8917      11.3529
     284       3.4608       9.8694
     285       4.5872      10.9052
     286       4.5776      10.9383
     287       4.5475      11.9322
     288       3.3194       9.6878
     289       3.7558      10.7262
     290       2.8036      11.0507
     291       4.3469      12.1550
     292       5.0462      12.7425
     293       3.3873      11.5110
     294       4.0268      11.2958
     295       3.9222      12.2334
     296       3.9367      11.1892
     297       3.1086      10.7132
     298       2.8535      10.3534
     299       2.8618      11.0359
     300       4.3715      12.1300
     301       3.5750      11.3539
     302       4.3159      11.9302
     303       2.8809       8.6186
     304       2.6504       9.2273
     305       2.9055       9.4245
     306       2.9302       9.3920
     307       3.3126       9.1714
     308       3.2681       8.7785
     309       2.7797       9.3754
     310       2.6030       9.2755
     311       2.7059       9.2336
     312       2.5093       8.8018
     313       2.7786       9.3968
     314       2.9719       9.2539
     315       2.8582       9.6353
     316       2.3854       8.8905
     317       3.0191       8.5500
     318       3.2952       8.7895
     319       3.3515       9.0861
     320       2.6995       8.9013
     321       2.7229       9.2950
     322       3.5058       9.2604
     323       3.3449      10.9444
     324       3.5981      11.3376
     325       3.5600      10.5444
     326       4.0840      10.4141
     327       3.5865      11.7929
     328       3.1924      11.2421
     329       3.1594      10.8547
     330       3.0826      10.0473
     331       2.8737       9.5543
     332       3.8224      10.7563
     333       3.3855      10.6518
     334       2.8360       8.9536
     335       3.2617       9.5373
     336       3.3542      11.9540
     337       4.5701      12.7133
     338       5.1865      12.1541
     339       4.7635      11.1494
     340       4.1584      11.7399
     341       3.5606      10.3442
     342       3.2186       9.9527
     343       4.3643      10.4899
     344       3.8976      10.9852
     345       4.2353      11.9003
     346       3.7507      10.0471
     347       3.7967      12.1407
     348       4.0678      10.8192
     349       3.3359      10.1783
     350       4.5964       9.8857
     351       3.5601       9.1530
     352       3.9638      11.1281
     353       3.6763      10.7095
     354       3.2136       9.3005
     355       3.8986      10.8139
     356       3.8326      11.1600
     357       4.2855       8.1025
     358       3.4823       9.1945
     359       4.2779      11.1680
     360       3.9551      10.5977
     361       4.0590       9.5543
     362       3.5212      10.6208
     363       3.4444      10.5322
     364       3.1615      10.0094
     365       3.1785       9.5108
     366       3.1458       9.2715
     367       3.4310       9.7609
     368       3.3386       9.0397
     369       3.3859       9.4688
     370       3.3763       8.9613
     371       4.2361      10.8882
     372       3.3082       9.7657
     373       3.8740      10.3193
     374       4.0409      10.5188
     375       3.7474      10.4527
     376       3.7979      10.4150
     377       4.0877      10.2937
     378       3.0330       8.9438
     379       3.4391       9.9129
     380       3.8424      10.5226
     381       4.3810      12.9866
     382       4.2464      11.5115
     383       3.7551      11.5623
     384       3.7761      10.6819
     385       2.9281       9.5663
     386       2.8745      10.5820
     387       3.0037      10.0052
     388       2.6650       9.6030
     389       3.4080      10.4700
     390       4.8214       9.9687
     391       4.0925      10.0291
     392       4.1688      11.5567
     393       4.2792      10.4728
     394       3.7401      10.7074
     395       3.9404       9.8513
     396       3.4543       9.7773
     397       3.1027       9.6387
     398       3.1311      10.2972
     399       3.4352      10.1719
     400       3.6661      10.3080
     401       3.7271      10.2974
     402       3.4980       9.6116
     403       4.1321       9.1673
     404       3.7848       9.7397
     405       3.0125       9.2319
     406       2.9447      10.0463
     407       3.3320       9.9307
     408       3.3006      10.0648
     409       3.7239      10.2435
     410       3.0836      10.4729
     411       3.2926       9.7404
     412       3.2755       9.0816
     413       3.1645       9.6654
     414       3.0380       9.2038
     415       3.3444      10.4357
     416       3.1920       9.4098
     417       3.2966       9.7880
     418       3.6372       9.7753
     419       3.3539       9.3173
     420       3.5022       9.5965
     421       3.1161       9.5819
     422       2.8071       9.9011
     423       3.2780       9.4895
     424       3.2778       9.9327
     425       3.0836      10.4297
     426       3.2941       9.9298
     427       3.1605      10.2490
     428       3.3527      10.3376
     429       3.3162      10.4698
     430       2.8656      10.7088
     431       2.8925       9.0589
     432       4.2369      10.5584
     433       3.3683      10.5214
     434       2.9422      10.2973
     435       2.9568       8.7218
     436       3.1630      11.0041
     437       2.9285      12.2221
     438       3.3984      11.0514
     439       3.4946       9.3024
     440       2.7610       9.8724
     441       2.8816       9.6902
     442       3.2464       9.5865
     443       2.7728      11.3800
     444       3.8712      11.5962
     445       3.2502      10.6308
     446       3.4031      11.6042
     447       3.5953      10.3644
     448       3.8827      10.6566
     449       3.2476      10.6741
     450       2.8048      10.3659
     451       3.1450      11.2553
     452       2.8208      10.0623
     453       2.8763      11.2174
     454       2.8743       9.8772
     455       2.8660      10.3164
     456       3.2547      10.5953
     457       4.2904      10.4496
     458       3.5289      13.0138
     459       4.2038      12.8730
     460       3.5075      10.1876
     461       4.3736      10.2193
     462       4.4775      10.9921
     463       4.3384      12.8250
     464       4.7160      19.4107
     465       5.2161      17.0088
     466       4.0838      25.8541
     467       4.2358      21.0251
     468       3.9426      23.5125
     469       3.7532      29.8948
     470       3.0264      34.9260
     471       3.9626      25.1752
     472       4.4330      37.5163
     473       3.9418      50.9106
     474       3.9689      46.6093
     475       3.5275      54.2477
     476       3.2066      52.8388
     477       2.9280      44.4659
     478       4.5739      44.8125
     479       3.2408      23.0614
     480       2.8829      47.1770
     481       5.2518      36.5736
     482       4.2015      41.6217
     483       3.5546      51.3952
     484       4.0734      49.2426
     485       4.9625      56.5640
     486       3.9665      47.6617
     487       4.8174      44.8677
     488       4.1163      45.7291
     489       3.3615      53.8168
     490       2.9839      44.2867
     491       3.1364      38.4295
     492       3.6937      37.4835
     493       3.0154      47.1091
     494       3.1534      45.4318
     495       4.2456      52.9111
     496       2.8885      63.9765
     497       4.0682      57.6602
     498       4.0146      34.6789
     499       3.4494      50.8681
     500       3.2063      33.0292
     501       1.7230       1.1755
     502       1.8210       1.1716
     503       1.8870       1.4722
     504       2.1364       2.3061
     505       1.7907       1.1845
     506       2.0222       1.5825
     507       1.9448       3.2395
     508       1.9381       3.4286
     509       1.9275       2.6980
     510       1.9054       2.9504
     511       1.8987       3.3963
     512       1.5338       2.5772
     513       1.7442       2.5703
     514       1.9336       2.9533
     515       1.8089       2.9640
     516       1.9598       2.7633
     517       2.0815       3.2661
     518       2.1948       3.5005
     519       1.9429       3.1327
     520       2.2975       3.7045
     521       1.9681       3.0682
     522       1.9252       3.0321
     523       2.0207       3.3134
     524       1.7313       3.2765
     525       2.0617       2.9378
     526       1.8816       2.8395
     527       1.9033       2.8714
     528       1.9051       3.0061
     529       1.7893       3.1421
     530       1.9148       3.2041
     531       1.8778       3.2927
     532       2.1050       3.1598
     533       1.6595       2.8249
     534       1.7301       3.4131
     535       2.0132       3.1563
     536       1.7660       3.7399
     537       1.8220       4.3477
     538       1.8475       5.6669
     539       1.9551       3.8464
     540       2.0049       5.1202
     541       1.9439       4.4317
     542       2.0095       6.8943
     543       2.0824       5.7440
     544       1.7582       5.1921
     545       1.8218       4.9598
     546       1.7541       4.9551
     547       1.6627       6.9043
     548       1.7898       5.0536
     549       1.9177       5.8929
     550       1.8760       6.0758
     551       2.0150       4.1340
     552       1.9304       5.0427
     553       2.0752       5.9702
     554       1.9950       5.9454
     555       1.8273       6.3330
     556       1.9126       6.9768
     557       1.8216       6.3327
     558       1.6259       6.2758
     559       1.9864       4.2430
     560       2.1604       4.4947
     561       1.6278       4.2340
     562       1.6087       4.2135
     563       1.7338       4.1755
     564       1.7537       5.0855
     565       1.6399       3.8875
     566       1.8245       5.4355
     567       1.8137       4.6982
     568       1.8286       4.7604
     569       2.1195       4.7490
     570       1.7147       3.6008
     571       1.9002       4.5999
     572       2.0097       4.9264
     573       1.9227       3.9603
     574       1.6639       4.8794
     575       1.7535       5.6229
     576       1.8000       4.2135
     577       1.8966       4.6026
     578       1.8976       5.4113
     579       2.1636       4.5908
     580       1.9991       4.3042
     581       1.9327       4.3606
     582       2.1284       4.5381
     583       2.0774       3.9197
     584       2.0308       4.3740
     585       1.9718       4.5640
     586       2.3059       5.0197
     587       2.1471       4.5157
     588       2.2420       4.3826
     589       2.0122       3.5599
     590       2.0127       4.5174
     591       1.9696       3.9243
     592       2.0910       4.7337
     593       1.8590       4.6784
     594       1.9724       4.8918
     595       2.1472       4.0387
     596       2.1139       3.9989
     597       2.1620       4.2186
     598       2.0639       3.8485
     599       2.0275       4.5056
     600       2.1946       4.1506
     601       2.0787       3.9640
     602       2.0142       4.3571
     603       2.0804       4.0226
     604       2.0894       3.5382
     605       2.1648       4.7308
     606       2.0948       4.7694
     607       2.1806       3.8489
     608       2.0145       4.3466
     609       2.3552       4.5183
     610       2.5252       3.7336
     611       2.2344       5.2669
     612       2.2626       4.6782
     613       2.0856       3.6668
     614       2.0698       4.6855
     615       2.1938       4.7711
     616       2.1692       4.4720
     617       2.1551       4.9227
     618       2.0827       4.3024
     619       2.0916       3.9145
     620       2.0406       4.4593
     621       2.4117       4.2628
     622       1.8865       4.1279
     623       2.0570       4.6385
     624       2.1732       3.6661
     625       2.3118       5.0488
     626       2.0563       4.8436
     627       2.2713       4.3023
     628       1.9898       4.8020
     629       2.0413       4.2852
     630       1.9762       4.5212
     631       1.8253       4.9890
     632       1.9772       5.1328
     633       2.0482       4.4543
     634       2.2098       4.8588
     635       2.0538       4.8790
     636       1.9366       4.7702
     637       1.9500       4.2853
     638       2.0013       4.2099
     639       2.1179       3.9191
     640       2.3620       4.4405
     641       2.1217       4.2447
     642       2.0658       5.7453
     643       2.0033       4.4798
     644       2.0595       4.8399
     645       2.2331       3.8496
     646       2.2361       4.6127
     647       2.0158       4.9543
     648       2.1211       4.7640
     649       1.9233       4.5951
     650       2.4013       4.5608
     651       2.0586       4.4039
     652       2.2654       5.6261
     653       2.2356       4.7389
     654       2.1528       5.0008
     655       2.1739       4.6300
     656       2.1577       4.3987
     657       2.2243       4.1596
     658       2.1744       4.2138
     659       2.3138       4.1134
     660       1.9867       3.6818
     661       2.1085       3.2089
     662       2.0186       3.4324
     663       2.2049       3.5057
     664       2.1042       2.9586
     665       2.1548       3.8470
     666       2.1324       3.7471
     667       2.2178       2.9164
     668       2.1073       3.8998
     669       2.1251       3.9130
     670       2.1376       4.8474
     671       2.3016       3.1472
     672       2.1347       3.9131
     673       2.0516       3.4401
     674       1.9258       3.6226
     675       1.9253       3.4587
     676       1.9495       4.3451
     677       2.2433       3.6014
     678       2.3637       4.2600
     679       2.2083       3.5447
     680       2.2060       5.7562
     681       2.3398       4.1393
     682       2.2680       4.4648
     683       2.1988       3.6468
     684       2.0140       4.6302
     685       2.1664       4.6334
     686       2.0990       5.0601
     687       2.0379       4.3612
     688       1.9382       4.8159
     689       2.0009       4.3441
     690       2.3573       4.0444
     691       2.0786       3.8299
     692       2.2793       4.0680
     693       1.9326       4.7062
     694       2.0818       4.8287
