#Frame          phi:2        psi:2
       1     -69.3557     123.2874
       2     -67.9668     121.6468
       3     -71.5149     140.4826
       4    -105.1898       1.0466
       5     -80.8613     153.1651
       6     -60.5612     139.4624
       7     -86.6945      78.2542
       8     -89.8282     -22.7332
       9     -83.5181      57.5447
      10     -78.6950     -26.9129
      11     -64.1346     -18.7634
      12     -78.0207     168.9472
      13     -71.3011     150.5687
      14     -50.9469     142.2630
      15     -65.0590     -35.2426
      16     -69.0029     170.5597
      17    -100.3756      76.3148
      18     -79.7578     -14.1574
      19     -65.4837     -40.1659
      20    -174.5993     133.4426
      21     -65.2978     142.3009
      22     -68.2088      -8.2882
      23     -79.4365     -12.1853
      24    -159.8751     166.0153
      25     -58.9541     140.6821
      26     -60.6989     129.5767
      27     -63.9400     149.2666
      28    -102.9113     -10.0322
      29     -53.1180     -36.1829
      30     -52.2056     138.4546
      31    -166.5114     147.0087
      32     -53.9740     162.3978
      33     -50.9379     144.7997
      34     -72.5742     -24.4214
      35     -80.4675     125.6169
      36     -98.0106      87.2976
      37     -49.6398     143.3765
      38     -44.9285     152.1177
      39     -78.0607     147.5787
      40    -167.8818     120.4757
      41     -76.1085     108.3457
      42     -94.3318      58.7672
      43    -174.3292      99.8629
      44     -64.2526     156.9739
      45     -67.5980     165.2661
      46     -72.0377     140.7985
      47     -52.4929     134.3902
      48     -78.5369     175.7699
      49     -50.7318     144.7473
      50    -163.4862     156.4111
      51    -104.2322      89.8344
      52     -61.1783     162.0947
      53     -51.2294     131.0198
      54     -47.0897     149.5147
      55     -65.0909     -16.2168
      56     -59.3825     145.6839
      57    -125.6805      36.7444
      58    -153.3470      13.0341
      59    -159.8987    -169.6621
      60    -141.3284     160.4277
      61     -54.9420     150.8006
      62     -80.8198     109.6377
      63     -42.9534     142.8598
      64     -78.9089     142.5567
      65     -58.9744     142.7202
      66     -54.2474     -44.3654
      67    -151.8305     135.8023
      68    -143.4132      78.4276
      69     -65.4034     157.4708
      70     -62.1308     134.6416
      71     -81.4783     -19.5050
      72     -66.0807     145.5375
      73    -119.7891      49.2644
      74     -70.1145     151.7136
      75     -74.6822     149.7013
      76     -40.8669     149.7564
      77     -59.0097     125.8145
      78     -66.1270     156.1247
      79     -56.2948     146.2620
      80     -65.3477     141.5945
      81     -79.4603     150.9655
      82     -60.9135     138.2929
      83     -69.9603     -22.1112
      84      57.6137      40.9010
      85     -74.2765     154.6605
      86    -145.2172    -175.4342
      87     -58.7916     132.1339
      88     -93.0744      63.1295
      89     -81.8270     137.2886
      90     -59.3003     144.4409
      91    -173.7711     152.8417
      92     -78.9691     -10.6919
      93     -60.2086     147.1023
      94    -111.2727     112.2286
      95     -51.7652     -46.6402
      96    -158.9383     170.2398
      97     -69.1182     -35.7211
      98    -110.2109     106.5701
      99     -79.5257     170.8743
     100     -55.7283     142.3434
     101     -73.5259     -38.2187
     102    -104.7385      -2.9833
     103     -36.2322     145.4465
     104     -81.2538     147.1788
     105     -66.9711     136.5255
     106     -48.5909     131.6234
     107     -80.5036     166.7756
     108     -72.5350     -15.6676
     109     -99.4916     -21.7639
     110     -63.6435     -35.0774
